controller,model,terminal_downrange_error_m,terminal_altitude_error_m,terminal_velocity_error_m_s,heat_rate_max,heat_rate_margin_min,heat_rate_violation_integral,heat_load,heat_load_margin,q_max,q_margin_min,q_violation_integral,load_factor_max,load_factor_violation_integral,corridor_margin_min,corridor_violation_integral,gamma_rate_peak_rad_s,terminal_pass,heat_pass,q_pass,load_pass,corridor_pass,input_pass,case_pass
baseline,reduced_reentry_point_mass,39917.05448689687,-484.90840289626067,934.3788158737707,336359.1467780787,-36359.14677807869,180511.35803561262,14113017.128046073,5886982.871953927,62471.876226069275,5528.123773930725,0.0,1.4910284338366917,0.0,-2958.4338457321937,28120.69799889269,0.0015491513494978364,True,False,True,True,False,True,False
heat_guard,reduced_reentry_point_mass,40158.253282703896,4708.253951495739,945.7301416946516,257894.65921033712,42105.34078966288,0.0,13179581.778585855,6820418.221414145,34348.71695880808,33651.28304119192,0.0,2.7853673629770537,0.0,599.333189353325,0.0,0.005585053606381855,True,True,True,True,True,True,True
