time,east,north,altitude,velocity_east,velocity_north,velocity_up,speed,quat_w,quat_x,quat_y,quat_z,quaternion_norm_error,dcm_orthogonality_error,p,q,r,body_rate_norm,body_force_x,body_force_y,body_force_z,mx,my,mz,force_east,force_north,force_up,accel_east,accel_north,accel_up
0.0,0.0,0.0,30000.0,1700.0,0.0,0.0,1700.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-950.0,0.0,11767.98,0.0,0.0,520.0,-950.0,0.0,11767.98,-0.7916666666666666,0.0,0.0
0.05,85.0,0.0,30000.0,1699.9604166666666,0.0,0.0,1699.9604166666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004262295081967214,0.0004262295081967214,-944.3754745973616,4.159822508938568,11785.379582403006,11.54854427379574,8.369745763566742,519.9061428235877,-944.3754745973616,4.159822508938568,11785.379582403006,-0.7869795621644681,0.0034665187574488064,0.014499652002506025
0.1,169.99802083333333,0.0,30000.0,1699.9210676885584,0.00017332593787244033,0.0007249826001253013,1699.921067688722,0.9999999999432276,0.0,0.0,1.0655737704313084e-05,0.0,0.0,1.6039644824716307e-05,8.047832464968022e-06,0.0008523820842816294,0.0008525709679655894,-938.7537964905849,8.318580126032831,11802.776659296213,23.08835551136845,16.737966164134736,519.6246051757721,-938.7539735586196,8.298573895696242,11802.776659296213,-0.7822949779655163,0.006915478246413535,0.028997216080178134
0.15000000000000002,254.99407421776124,8.666296893622017e-06,30000.00003624913,1699.88195293966,0.000519099850193117,0.002174843404134208,1699.8819529411307,0.9999999994890096,4.009889766142624e-07,2.0120008442327884e-07,3.1965289802883144e-05,0.0,5.833568586382248e-21,4.8106719509319864e-05,2.4142359351296777e-05,0.001278303890109844,0.0012794365734365091,-933.137811534149,12.475208232044983,11820.16872553061,34.61070728043756,25.10313611669842,519.1554886885867,-933.1338504335373,12.406072802608064,11820.169111001745,-0.7776115420279478,0.010338394002173385,0.04349092583478864
0.2,339.98817186474423,3.462128940327787e-05,30000.0001449913,1699.8430723625586,0.0010360195503017863,0.00434938969587364,1699.8430723684387,0.9999999979553226,1.6036440998457996e-06,8.047846964721453e-07,6.39228870066431e-05,0.0,2.220446049250313e-16,9.617676052180693e-05,4.828146847809068e-05,0.0017038411606885584,0.0017072362959823118,-927.5303627004972,16.628642752880413,11837.553276678713,46.106886351613426,33.46373109218793,518.4989627079889,-927.5134252305953,16.472096550695298,11837.554822671373,-0.7729278543588294,0.013726747125579414,0.05797901889281043
0.25,424.98032548287216,8.642226691836719e-05,30000.000362460785,1699.8044259698406,0.001722356906580757,0.0072483406405141615,1699.8044259861674,0.9999999943168043,4.0080202276850195e-06,2.011906792658184e-06,0.00010651891584035901,0.0,2.220446049250313e-16,0.00016021307437740943,8.046207217065788e-05,0.00212884024955012,0.0021363761799748832,-921.9342886408429,20.7778204319849,11854.927809395194,57.56819928736188,41.81822739531031,517.6552642327275,-921.8909820320337,20.486388565050856,11854.931684387588,-0.7682424850266947,0.017071990470875712,0.07245973698965713
0.30000000000000004,509.9705467813642,0.00017254011224740505,30000.000724877817,1699.7660138455892,0.0025759564301245427,0.010871327489997019,1699.7660138823064,0.9999999872013777,8.013239860314674e-06,4.023671911958808e-06,0.0001597399215528084,0.0,1.1102230246251565e-16,0.0002401667655847451,0.00012068010495560141,0.0025531476741202123,0.002567256669849936,-916.352422248163,24.921679102532433,11872.289821777369,68.98597901600202,50.1651024422388,516.6246978287897,-916.2647666352445,24.438665896037858,11872.29759116406,-0.7635539721960372,0.02036555491336488,0.08693132597005082
0.35000000000000003,594.9588474736437,0.0003013379337536322,30000.00126844419,1699.7278361469794,0.0035942341757927865,0.01521789378849956,1699.7278362189033,0.9999999748855081,1.4017183784170159e-05,7.041122113622845e-06,0.00022356861214558536,0.0,1.1102230246251565e-16,0.0003359767739025764,0.00016893052031397894,0.0029766101610834766,0.0030002709818216316,-910.7875892231065,29.05915795933415,11889.636813725454,80.35159138576604,58.50283503809942,515.4076355194558,-910.6329842255889,28.318626831264815,11889.650442845428,-0.7588608201879907,0.023598855692720678,0.10139203570452437
0.4,679.9452392809926,0.0004810496425432715,30000.00202933888,1699.68989310597,0.0047741769604288204,0.020287495573725778,1699.6898932337508,0.9999999552881124,2.2416182635571848e-05,1.126521973795238e-05,0.00029798386352245643,0.0,1.1102230246251565e-16,0.000447569920879016,0.00022520728650155257,0.0033990746917488507,0.003435803532808095,-905.2426066435439,33.18919783039867,11906.966287302585,91.65644169396512,66.82990565420464,514.0045166510016,-904.993797085741,32.11595859313469,11906.98814390674,-0.7541614975714508,0.026763298827612244,0.11584011992228405
0.45,764.9297339362911,0.0007197584905647126,30000.00304371366,1699.6521850310914,0.006112341901809433,0.02607950156983998,1699.6521852421643,0.9999999259631488,3.3604709612937217e-05,1.6896830944801443e-05,0.00038296072576181984,1.1102230246251565e-16,7.896803794829362e-20,0.0005748609656380071,0.0002895033814476832,0.0038203885474167878,0.0038742284381431693,-899.7202815384817,37.31074144807434,11924.27574709451,102.8919811863237,75.14479670498321,512.4158477341011,-899.3453223466685,35.82034511660339,11924.308603153238,-0.7494544352888904,0.029850287597169494,0.1302738359610327
0.5,849.9123431878456,0.0010253755856551843,30000.004347688737,1699.614712309327,0.007604856281667908,0.03259319336789161,1699.6147126388576,0.9999998840909228,4.797507456569622e-05,2.4136708985053687e-05,0.00047847043051544154,2.220446049250313e-16,5.483628434797786e-20,0.0007177526698709202,0.0003618107867469334,0.0042403993547504,0.004315908088488548,-894.2234094670637,41.422733719703956,11941.562700568933,114.04971352156741,83.44599282455594,510.6422022609806,-893.6856297853572,39.42147490162506,11941.609733321495,-0.7447380248211309,0.03285122908468755,0.1446914444345797
0.55,934.8930788033119,0.0014056183997385797,30000.005977348406,1699.5774754080858,0.009247417735902286,0.039827765589620596,1699.5774758999037,0.9999998264681449,6.59171196869749e-05,3.3185477160970026e-05,0.0005844803995372506,1.1102230246251565e-16,8.399853684353485e-20,0.0008761358719841527,0.0004421204807599245,0.004658955131152408,0.004761191815058092,-888.7547731033787,45.52412199772275,11958.824658434423,125.12120119637633,91.73198114290703,508.6842204983939,-888.0127396743837,42.909048934608144,11958.889450583296,-0.7400106163953197,0.03575754077884012,0.1590912088194134
0.6000000000000001,1019.8719525737163,0.001867989286533694,30000.007968736685,1699.540474877266,0.011035294774844292,0.047782326030591266,1699.5404755847892,0.9999997494967935,8.7817917035882e-05,4.424361143203242e-05,0.0007009542543465824,0.0,1.1102230246251565e-16,0.0010498895703467007,0.0005304224308424401,0.00507590433014961,0.005210414650859867,-883.3171408277922,49.61385634913042,11976.059134998875,136.09807192584475,100.00125156160023,506.54260925649385,-882.3246206884182,46.2727886730564,11976.145673954015,-0.7352705172403485,0.038560657227547,0.1734713949616804
0.65,1104.8489763175796,0.0024197540252759086,30000.010357852985,1699.503711351404,0.012963327636221642,0.05645589577867528,1699.5037123385498,0.9999996491718235,0.00011406146811383165,5.7511422623749865e-05,0.0008278518270308388,1.1102230246251565e-16,1.1102230246251565e-16,0.0012388810155747883,0.0006267055847241783,0.005491095886786369,0.005663896194189851,-877.9132653255117,53.6908898242682,11993.263648527449,146.97202497462243,108.25229702899026,504.21814163368094,-876.6191878727104,49.50244408742467,11993.376324607569,-0.7305159898939254,0.04125203673952056,0.18783027050630707
0.7000000000000001,1189.8241618851498,0.003067920407086991,30000.013180647773,1699.4671855519093,0.015025929473197669,0.06584740930399063,1699.4671868939947,0.999999521067789,0.00014502840571776733,7.318903819783662e-05,0.0009651291721931188,0.0,1.6623021589865644e-19,0.0014429658117838104,0.00073095786106092,0.005904379263028386,0.0061219395791124315,-872.5458821930993,57.754178724832315,12010.43572159992,157.73483743395053,116.48361381487888,501.71165673752347,-870.8943006785778,52.58780175407936,12010.579325100349,-0.7257452505654814,0.04382316812839947,0.20216610425029202
0.75,1274.7975211627454,0.003819216880746874,30000.016473018237,1699.430898289381,0.01721708787961764,0.07595571451650523,1699.4309000740075,0.9999993603244313,0.00018109569829141564,9.147638354321791e-05,0.0011127385800509208,0.0,2.220446049250313e-16,0.001661988026731057,0.0008431661391861968,0.0063156044931777875,0.006584830556173409,-867.2177085536342,61.80268287105499,12027.572881467444,168.378370439844,124.69370178456529,499.0240593818486,-865.147761070865,55.518692993117725,12027.752598507026,-0.7209564675590542,0.04626557749426477,0.21647716542252304
0.8,1359.7690660772146,0.004680071274727756,30000.02027080396,1699.3948504660032,0.01953036675433088,0.08677957278763139,1699.3948527939287,0.9999991616313086,0.00022263635699380302,0.00011257316274846478,0.001270628590692568,0.0,5.037066709304909e-19,0.0018957803107659593,0.0009633162480908084,0.0067246222293002485,0.007052836685144685,-861.9314416812275,65.83536586798486,12044.67266040861,178.89457532771985,132.88106467224182,496.15631976011446,-859.3773117122844,58.28500204467075,12044.894067471208,-0.716147759760237,0.048570835037225625,0.23076172289267483
0.8500000000000001,1444.7388086005149,0.0056565896124443,30000.024609782602,1699.3590430780152,0.02195890850619216,0.09831765893226513,1699.3590460640103,0.9999989192115315,0.00027001914570220755,0.00013667883881750276,0.0014387440094985186,0.0,1.1102230246251565e-16,0.002144164024497929,0.001091392954660744,0.007131283786664589,0.007526206640225838,-856.689757635584,69.85119537079835,12061.732596084803,189.27549971881615,141.04421035368398,493.1094730951811,-853.5806342294791,60.876674277188805,12062.001653174502,-0.7113171951912326,0.05073056189765734,0.2450180443120864
0.9,1529.7067607544157,0.006754535037753908,30000.029525665548,1699.3234772182557,0.024495436601075025,0.11056856114786945,1699.3234809919436,0.9999986268046854,0.0003236082941645051,0.00016399261329177992,0.0016170259237352326,1.1102230246251565e-16,2.220446049250313e-16,0.002406949375085254,0.0012273799512062058,0.007535441189194934,0.008005169626851251,-851.4953099073049,73.8491433490743,12078.750231894759,199.51329353379936,149.18165111818618,489.8846192656059,-847.755347565576,63.283724421089254,12079.073274227729,-0.70646278963798,0.05273643701757438,0.25924439518977493
0.9500000000000001,1614.6729346153284,0.00797930686780766,30000.035054093605,1699.2881540787737,0.027132258451953745,0.1235307809073582,1699.2881587854542,0.9999982776490193,0.0003837632145134981,0.00019471340524351293,0.0018054117203297325,0.0,1.1102230246251565e-16,0.0026839355610419864,0.0013712598423165129,0.00793694721493518,0.008489934908092227,-846.3507280746145,77.82818634996424,12095.72311732833,209.6002149290128,157.29190393969273,486.4829224085996,-841.8990064239009,65.49624482103098,12096.106845488375,-0.7015825053532507,0.05458020401752582,0.27343903790698043
1.0,1699.637342319267,0.009335919790405347,30000.04123063265,1699.253074953506,0.029861268652830036,0.13720273280270723,1699.2530807549624,0.9999978644629834,0.00045083822135329557,0.00022903982960615447,0.002003835104833448,0.0,3.3632501961916063e-19,0.002974910925453285,0.0015230141310776664,0.008335655441525125,0.008980691437616093,-841.2586164721924,81.78730576019062,12112.648808319345,219.52863615087688,165.37349074707532,482.9056104997853,-836.0090998074313,67.50441369997063,12113.100276808678,-0.6966742498395261,0.056253678083308854,0.28760023067389895
1.05,1784.5999960669424,0.010828983223046849,30000.04809076929,1699.218241241014,0.03267395255699548,0.15158274433640218,1699.2182483163017,0.9999973794262077,0.0005251822556251454,0.00026717017480983876,0.00221222612158436,1.1102230246251565e-16,1.1102230246251565e-16,0.0032796531174833043,0.001682623204691292,0.008731420291687202,0.009477607595277967,-836.221552872785,85.72548806680634,12129.524867597545,229.2910493040143,173.42493869350739,479.1539749099127,-830.0830496584537,69.29850342805237,12130.051471719024,-0.691735874715378,0.05774875285671031,0.30172622643251934
1.1,1869.560908128993,0.012462680850896623,30000.05566990651,1699.1836544472783,0.03556139019983099,0.16666905565802814,1699.183662993496,0.9999968141600106,0.0006071386124573106,0.00030930237969126136,0.002430511175076851,1.1102230246251565e-16,2.220446049250313e-16,0.0035979292620534156,0.0018500663195355224,0.00912409707872236,0.009980831020680083,-831.2420871822623,89.64172511664842,12146.34886503956,238.88007202873803,181.44478042488635,475.229369938687,-824.1182096027696,70.86888878928285,12146.95832605166,-0.6867651746689747,0.05905740732440237,0.3158152717097167
1.1500000000000001,1954.520090851357,0.014240750360888172,30000.064003359294,1699.1493161885448,0.03851426056605111,0.18245981924351398,1699.1493264215871,0.9999961597075319,0.0006970446732006254,0.00035563400964922794,0.0026586130525490196,0.0,2.220446049250313e-16,0.0039294961375623385,0.002025321585710157,0.009513542052013116,0.01049048853943813,-826.3227401487836,93.5350143744198,12163.118378018826,248.28845308360914,189.43155434725475,471.1332123258819,-818.1118638026661,72.2060552388517,12163.818726509882,-0.6817598865022217,0.06017171269904309,0.32986560542490295
1.2000000000000002,2039.4775566607843,0.016166463389190727,30000.073126350257,1699.1152281942198,0.041522846201003265,0.19895309951475912,1699.1152403495114,0.9999954065135896,0.0007952316418482875,0.0004063622320189718,0.0028964509477975658,0.0,1.1102230246251565e-16,0.004274100361513642,0.0022083659511101116,0.0098996124425314,0.01100668617644003,-821.4660020867217,97.40435917933286,12179.830991754452,257.50907782884224,197.38380489317197,466.8669807399116,-812.061225922721,73.3006071438684,12180.630549188287,-0.6767176882689341,0.061083839286557,0.34387545765690675
1.25,2124.4333180704953,0.01824260569924089,30000.083074005233,1699.0813923098062,0.044577038165331116,0.21614687239760447,1699.0814066430169,0.9999945444043602,0.0009020242860352136,0.0004616837906402718,0.003143940486230618,0.0,1.1102230246251565e-16,0.0046314785839100545,0.0023991751850727643,0.010282166508348246,0.011529509250062847,-816.674331615995,101.24876900024914,12196.484299658941,266.53497360641313,205.30008278698702,462.4322152440475,-805.9634382123679,74.14327600020567,12197.3916580497,-0.6716361985103066,0.061786063333504726,0.35784304837475034
1.3,2209.3873876859857,0.020471457607507446,30000.093881348854,1699.0478104998808,0.047666341332006354,0.23403902481634198,1699.0478272876205,0.9999935625669828,0.0010177406828089464,0.0005217949795964146,0.003400993751169156,1.1102230246251565e-16,1.1102230246251565e-16,0.0050013576882681,0.0025977238616463,0.010661063580141876,0.012059022541118021,-811.9501544174431,105.06725968924991,12213.075903684732,275.35931501279896,213.17894530896527,457.8305167404722,-799.815570708978,74.72492861806168,12214.09990336481,-0.666512975590815,0.06227077384838473,0.37176658613734226
1.35,2294.3397782109796,0.022854774674107764,30000.105583300094,1699.0144848511013,0.05077988002442559,0.2526273541232091,1699.0145043915986,0.9999924495291925,0.0011426919693606193,0.0005868916161031195,0.003667519311407876,0.0,2.22769665127881e-19,0.005383455000100774,0.0028039853425275564,0.011036164106700198,0.012595270530212409,-807.2958620048784,108.85885373357267,12229.603414669515,283.97542906036426,221.01895655822005,453.06354639237134,-793.6146205650485,75.03657526878376,12230.753120120607,-0.6613455171375404,0.06253047939065313,0.3856442667671729
1.4000000000000001,2379.290502453535,0.025393768675329043,30000.1182146678,1698.9814175752444,0.05390640399395825,0.27190956746156775,1698.9814401890035,0.9999911931390862,0.0012771820989008953,0.0006571690125286884,0.003943422250046518,0.0,2.220446049250313e-16,0.005777478502710257,0.003017931759719166,0.011407329700413126,0.013138277697229883,-802.7138105144326,112.62258050584907,12246.064452680266,292.37680022348985,228.81868771440162,448.1330250242715,-787.3575115029001,75.06937778542931,12247.349126403988,-0.6561312595857501,0.06255781482119109,0.3994742720033244
1.4500000000000002,2464.239573332297,0.028089088875026955,30000.131810146173,1698.9486110122652,0.0570342947350178,0.29188328106173395,1698.9486370427053,0.9999897805451295,0.0014215076018620869,0.0007328219475288472,0.004228604194602828,1.1102230246251565e-16,2.3843977465208555e-18,0.006183127060127093,0.003239533997956991,0.011774423182749552,0.013688048876741535,-798.2063195118137,116.35747651258015,12262.456647355957,300.5570753656289,236.57671729809562,443.0407325008413,-781.0410934000998,74.81465760948171,12263.885721766997,-0.6508675778334165,0.06234554800790143,0.41325476813916495
1.5,2549.18700388291,0.030940803611777846,30000.146404310228,1698.9160676333736,0.060151572135412876,0.3125460194686922,1698.9160974474494,0.9999881981765093,0.0015759573526038318,0.0008140446362820003,0.004522963348418385,1.1102230246251565e-16,2.220446049250313e-16,0.006600090647026769,0.003468761676959935,0.012137308629713192,0.014244569663328776,-793.775670818075,120.06258564078554,12278.77763824888,308.510068543563,244.29163142988386,437.7885070843797,-774.66214200862,74.26390377608412,12280.360685580401,-0.6455517850071834,0.0618865864800701,0.426983904650335
