fault_type,baseline,candidate,baseline_pass,candidate_pass,baseline_fault_detected,candidate_fault_detected,baseline_h_rms,candidate_h_rms,delta_h_rms,baseline_v_rms,candidate_v_rms,delta_v_rms,baseline_q_max,candidate_q_max,delta_q_max,baseline_q_violation_integral,candidate_q_violation_integral,delta_q_violation_integral,baseline_post_fault_h_rms,candidate_post_fault_h_rms,delta_post_fault_h_rms,baseline_post_fault_v_rms,candidate_post_fault_v_rms,delta_post_fault_v_rms,baseline_post_fault_q_violation_integral,candidate_post_fault_q_violation_integral,delta_post_fault_q_violation_integral,baseline_fault_detection_delay,candidate_fault_detection_delay,delta_fault_detection_delay,baseline_fault_residual_max,candidate_fault_residual_max,delta_fault_residual_max,baseline_q_est_margin_min,candidate_q_est_margin_min,delta_q_est_margin_min
alpha_sensor_bias,baseline,guarded,True,True,True,True,291.11797001978374,291.11797001978374,0.0,218.08463583567183,218.08463583567183,0.0,51763.86657964443,51763.86657964443,0.0,0.0,0.0,0.0,557.7128092046619,557.7128092046619,0.0,334.7015789160591,334.7015789160591,0.0,0.0,0.0,0.0,0.1999999999999993,0.1999999999999993,0.0,4.000000000000001,4.000000000000001,0.0,18236.133420355567,18236.133420355567,0.0
elevator_loss,baseline,guarded,True,True,True,True,291.07662912454276,291.07662912454276,0.0,218.07994898588083,218.07994898588083,0.0,51752.989105193825,51752.989105193825,0.0,0.0,0.0,0.0,557.5062404492722,557.5062404492722,0.0,334.67234820332123,334.67234820332123,0.0,0.0,0.0,0.0,0.1999999999999993,0.1999999999999993,0.0,1.673033616982982,1.673033616982982,0.0,18247.010894806175,18247.010894806175,0.0
input_delay,baseline,guarded,True,True,False,False,291.03552920458765,291.03552920458765,0.0,218.08682558389913,218.08682558389913,0.0,51747.36465202871,51747.36465202871,0.0,0.0,0.0,0.0,557.3008289771915,557.3008289771915,0.0,334.715235169748,334.715235169748,0.0,0.0,0.0,0.0,inf,inf,nan,0.03570856537302047,0.03570856537302047,0.0,18252.635347971293,18252.635347971293,0.0
none,baseline,guarded,True,True,False,False,291.03576392991187,291.03576392991187,0.0,218.07404913795244,218.07404913795244,0.0,51739.982756229896,51739.982756229896,0.0,0.0,0.0,0.0,291.03576392991187,291.03576392991187,0.0,218.07404913795244,218.07404913795244,0.0,0.0,0.0,0.0,inf,inf,nan,0.0,0.0,0.0,18260.017243770104,18260.017243770104,0.0
