controller,model,terminal_range_error_m,crossrange_error_m,terminal_energy_error_m,energy_corridor_margin_min,energy_corridor_violation_integral,q_max,q_violation_integral,heat_rate_max,heat_violation_integral,load_factor_max,load_violation_integral,bank_angle_peak_rad,bank_rate_peak_rad_s,lift_to_drag_mean,terminal_pass,energy_pass,path_pass,input_pass,case_pass
baseline,reduced_glide_energy_point_mass,2384.1915802536532,-7565.804030834449,9386.273135241412,14090.532851272787,0.0,25613.835880725852,0.0,133510.8891381154,0.0,2.2512726349236947,0.0,0.8541179890096446,0.06981317007977328,6.576546003705067,False,True,True,True,False
energy_guard,reduced_glide_energy_point_mass,3815.0171848214814,-4159.62261433335,6461.852452631865,11199.496968567953,0.0,37678.46560431069,0.0,161965.20157770705,0.0,2.40120079344373,0.0,0.7436016308958016,0.06981317007977328,6.189855605573963,True,True,True,True,True
