time,velocity,velocity_ref,altitude,altitude_ref,gamma,alpha,theta,pitch_rate,elevator,elevator_rate,delta_cmd,throttle_cmd,throttle_unsat,speed_error,speed_integral,saturation_active,qbar
0.0,1750.0,2250.0,30000.0,30000.0,-0.008726646259971648,0.03490658503988659,0.026179938779914945,0.0,0.0,0.0,-0.008246680715673206,0.62,1.07,500.0,0.0,1.0,29081.837883766693
0.04,1750.3216542350526,2250.0,29999.384218068706,30000.0,-0.008865714174450605,0.035031580844326685,0.02616586666987608,-0.0006973779955769953,-0.002045722197971618,-0.07834072934072082,-0.00868412233965696,0.62,1.0695818494944316,499.6783457649474,0.0,1.0,29095.017743402983
0.08,1750.643329535839,2250.0,29998.758579472564,30000.0,-0.009005017560686189,0.035130818922344154,0.026125801361657965,-0.001289630963431325,-0.005230110328244076,-0.07122799138689768,-0.00909352367016358,0.62,1.0691636716034092,499.35667046416097,0.0,1.0,29108.242159253037
0.12,1750.9650278409088,2250.0,29998.123060977534,30000.0,-0.00914458642327935,0.035208767439982316,0.026064181016702968,-0.0017783177287689826,-0.007586513565296205,-0.044125182760330825,-0.009471673759444976,0.62,1.0687454638068186,499.03497215909124,0.0,1.0,29121.511345427683
0.16,1751.2867507427875,2250.0,29997.47764478779,30000.0,-0.009284284715995761,0.035268735909064965,0.02598445119306921,-0.002200531821903181,-0.008920221165818493,-0.022507529747405355,-0.009834014266371833,0.62,1.0683272240343762,498.7132492572125,0.0,1.0,29134.82548296434
0.2,1751.6084995777137,2250.0,29996.82232252675,30000.0,-0.009423996886487918,0.03531260303436548,0.025888606147877566,-0.002587912626771981,-0.00958866687640406,-0.011026673544432024,-0.01019456580155259,0.62,1.067908950548972,498.3915004222863,0.0,1.0,29148.184706633587
0.24,1751.930275541599,2250.0,29996.15709180697,30000.0,-0.009563669442417872,0.0353413217385503,0.02577765229613243,-0.0029578175210162663,-0.009955394959304777,-0.006905140319024449,-0.010561099143885274,0.62,1.0674906417959211,498.06972445840097,0.0,1.0,29161.589122594967
0.28,1752.2520797652576,2250.0,29995.48195219581,30000.0,-0.009703297120010786,0.0353554321124987,0.02565213499248791,-0.00331662613964295,-0.01024117969748364,-0.006473706127506401,-0.010936313103876053,0.62,1.067072296305165,497.7479202347424,0.0,1.0,29175.038827188742
0.32,1752.5739133471382,2250.0,29994.79690264503,30000.0,-0.009842899649219885,0.03535537261862982,0.02551247296940993,-0.003664992751397517,-0.010540680859721336,-0.007278285996848039,-0.011320158963396236,0.62,1.0666539126487204,497.42608665286184,0.0,1.0,29188.53391842634
0.36,1752.8957773600678,2250.0,29994.10194036072,30000.0,-0.009982505185936323,0.03534161317847468,0.025359107992538356,-0.004001540859453409,-0.010876896906536317,-0.0081633933606636,-0.011711552468801534,0.62,1.066235489431912,497.10422263993223,0.0,1.0,29202.074500803716
0.4,1753.2176728468849,2250.0,29993.397060537718,30000.0,-0.010122142083072386,0.03531468704801676,0.025192544964944375,-0.004324676028491039,-0.011244172980224943,-0.008779814957345625,-0.01210924381045454,0.62,1.0658170252990495,496.78232715311515,0.0,1.0,29215.660686249637
0.44,1753.539600813499,2250.0,29992.68225646248,30000.0,-0.010261836145920815,0.035275182218113633,0.02501334607219282,-0.004633175505434155,-0.011631092813297461,-0.009132999053083223,-0.012512117567362483,0.62,1.0653985189424513,496.46039918650104,0.0,1.0,29229.292593495495
0.48,1753.8615622228226,2250.0,29991.95751970631,30000.0,-0.010401610433720456,0.03522372467468812,0.024822114240967665,-0.004926216039766847,-0.01202890236479713,-0.009321368138837612,-0.012919221473732378,0.62,1.0649799691103305,496.1384377771774,0.0,1.0,29242.970347105696
0.52,1754.1835579902772,2250.0,29991.22284029929,30000.0,-0.010541485811238153,0.03516096541891179,0.024619479607673633,-0.005203240014322674,-0.012432714728876606,-0.009429294989010729,-0.013329711667719069,0.62,1.0645613746126397,495.8164420097228,0.0,1.0,29256.694076636682
0.56,1754.5055889805665,2250.0,29990.47820686409,30000.0,-0.010681481472386359,0.0350875729483863,0.024406091475999935,-0.005463831323909886,-0.012840301961298334,-0.009503981288576,-0.013742797877322643,0.62,1.0641427343252636,495.4944110194335,0.0,1.0,29270.463915999127
0.6,1754.8276560052532,2250.0,29989.723606720534,30000.0,-0.010821615239432205,0.03500422948978058,0.024182614250348372,-0.0057076431256769455,-0.013250719202598757,-0.009564004241682663,-0.014157710957088766,0.62,1.0637240471931708,495.1723439947468,0.0,1.0,29284.28000296432
0.64,1755.1497598208207,2250.0,29988.959025976248,30000.0,-0.010961903675262034,0.03491162903658743,0.023949725361325384,-0.005934368180156629,-0.013663429804473569,-0.009612969360712804,-0.014573689920463656,0.62,1.063305312232933,494.8502401791793,0.0,1.0,29298.142478742215
0.68,1755.4719011270593,2250.0,29988.184449613433,30000.0,-0.01110236209409362,0.034810475954731086,0.02370811386063746,-0.006143732378883773,-0.01407791223477816,-0.009649121306531982,-0.014989979958837057,0.62,1.062886528534823,494.52809887294075,0.0,1.0,29312.051487584744
0.72,1755.7940805657224,2250.0,29987.399861576574,30000.0,-0.011243004535051986,0.03470148360083114,0.02345847906577915,-0.006335497024837455,-0.014493552640610361,-0.009670061072511435,-0.015405834790409268,0.62,1.0624676952645609,494.2059194342776,0.0,1.0,29326.007176393796
0.76,1756.1162987194416,2250.0,29986.605244862327,30000.0,-0.011383843731865757,0.03458537280251383,0.023201529070648073,-0.006509462485268504,-0.014909657231648756,-0.009674280581478227,-0.015820519815495017,0.62,1.062048811664726,493.8837012805584,0.0,1.0,29340.00969432747
