time,velocity,velocity_ref,altitude,altitude_ref,gamma,alpha,theta,pitch_rate,elevator,elevator_rate,delta_cmd,throttle_cmd,qbar
0.0,1750.0,1750.0,30000.0,30000.0,-0.008726646259971648,0.03490658503988659,0.026179938779914945,0.0,0.0,0.0,0.16938655630458427,0.09722048945787684,29081.837883766693
0.02,1750.0640041404458,1750.064,29999.69331918956,29999.485714285714,-0.00879771274255181,0.034973532648334756,0.026175819905782945,-0.00044583293434099814,0.013120027690002053,1.1625240881828034,0.16932974703073378,0.09721140620388509,29085.20403399208
0.04,1750.1280083496683,1750.128,29999.384168963894,29998.97142857143,-0.008866944592666908,0.03502614164645825,0.02615919705379134,-0.0012881485930081769,0.040840861386139175,1.3962634015954636,0.1692831708787118,0.09720214066045861,29088.580474947543
0.06,1750.1920127461037,1750.192,29999.07262571628,29998.457142857143,-0.008933742103529641,0.03505428397152931,0.026120541867999666,-0.0026634334451364258,0.06876612941804844,1.3962634015954636,0.16925328115266555,0.09719240003537337,29091.966905398287
0.08,1750.2560175327199,1750.256,29998.75877394315,29997.942857142858,-0.008998213871217861,0.03504743185791523,0.026049217986697366,-0.004552381767145589,0.09622392819127201,1.3205378973911104,0.1692458649588835,0.0971817234293169,29095.36299404281
0.1,1750.3200229119668,1750.32,29998.442692556073,29997.428571428572,-0.009060525177871688,0.03499571109034576,0.025935185912474065,-0.006924769369311074,0.12060521407191019,1.1014795645961817,0.1692662809044884,0.09716966851341842,29098.76843198628
0.12,1750.384029082493,1750.384,29998.124450684205,29996.914285714287,-0.009121063130666528,0.03489056704682527,0.025769503916158735,-0.00970256220412524,0.13999334378099015,0.8347030129325115,0.16931887525382308,0.09715580815571954,29102.182949609665
0.14,1750.4480362132833,1750.448,29997.804101957296,29996.4,-0.009180307583906377,0.03472533397276584,0.025545026388859454,-0.012788351600015213,0.15410091373301105,0.5807232356826298,0.16940682548615416,0.09713978590291623,29105.606338842677
0.16,1750.5120444293464,1750.512,29997.481683206577,29995.885714285716,-0.009238725949954545,0.03449527268622627,0.025256546736271722,-0.01608843051173183,0.1635211330569481,0.36904478887147696,0.16953225099593933,0.0971213433151618,29109.038457975614
0.18,1750.5760538092156,1750.576,29997.15721593311,29995.371428571427,-0.009296721159223744,0.03419731601856178,0.024900594859338033,-0.019524070403271167,0.16921980333780068,0.2090237791857488,0.16969642009959138,0.09710032246003922,29112.479225678082
0.2,1750.6400643891448,1750.64,29996.83070895511,29994.85714285714,-0.009354613728248888,0.03382970405135972,0.02447509032311082,-0.023035265216569987,0.1722206871725478,0.09829378514186589,0.16989997574213736,0.09707665534654293,29115.928610468694
0.22,1750.7040761702276,1750.704,29996.502161296237,29994.342857142856,-0.009412643966269677,0.03339161320895384,0.023978969242684153,-0.026580057575271106,0.1734347442989207,0.028757209972951725,0.1701431394114828,0.09705034799456642,29119.386619300327
0.24,1750.768089126039,1750.768,29996.17156479625,29993.82857142857,-0.00947098428845752,0.032882833880128436,0.023411849591670905,-0.030131674169723486,0.17358756789129823,-0.009517659119309498,0.17042587535626674,0.09702146396168256,29122.85328727762
0.26,1750.8321032094593,1750.832,29995.838906214398,29993.314285714285,-0.009529755038889039,0.03230351807965711,0.022773763040768058,-0.03367492745963892,0.1732077145622766,-0.026025896663178994,0.16491881780990628,0.09699010993901434,29126.32866939199
0.28,1750.8961183587292,1750.896,29995.50416864064,29992.8,-0.009589052983668554,0.031654028974504325,0.02206497599083576,-0.03719983336377255,0.17219664024101305,-0.0687193134743432,0.1583505120993424,0.09695642282443351,29129.81283502598
0.3,1750.9601345024143,1750.96,29995.167331361594,29992.285714285714,-0.00964900381396648,0.030935011541180585,0.021286007727214094,-0.040689892713345076,0.17014972962155392,-0.12626791150191613,0.15175519989689573,0.09692056003532148,29133.305868669395
0.32,1751.0241515581215,1751.024,29994.828368806786,29991.77142857143,-0.009709755476253731,0.030147521869036183,0.02043776639278244,-0.04412351766826527,0.16693447559699712,-0.18364596666711933,0.1451700659096613,0.09688270392939456,29136.80787415047
0.34,1751.088169430696,1751.088,29994.487250170878,29991.257142857143,-0.009771455585213877,0.02929305593885358,0.019521600353639694,-0.0474789855650517,0.16264458020084868,-0.23285813072863648,0.13863155078922645,0.09684306504160418,29140.318976116527
0.36,1751.1521880127125,1751.152,29994.143939697624,29990.742857142857,-0.009834237460340645,0.02837350436138359,0.018539266901042937,-0.050737476294582445,0.15748268463256,-0.27066269280227273,0.13217117734664313,0.0968018803288741,29143.839318914095
0.38,1751.2162071865005,1751.216,29993.79839730247,29990.22857142857,-0.00989821419685633,0.027391073419534923,0.017492859222678583,-0.053884332995330735,0.15168414353449247,-0.29676037347647805,0.12581392732840008,0.09675940843272676,29147.369064148028
0.4,1751.2802268268088,1751.28,29993.450579307166,29989.714285714286,-0.009963477771039396,0.02634819795692478,0.016384720185885375,-0.05690921660753793,0.14547226067395733,-0.3124589388151827,0.11957818238075546,0.09671592378944231,29150.90838780708
0.42,1751.3442468035391,1751.344,29993.100439151327,29989.2,-0.010030100947916853,0.02524746076470251,0.015217359816785646,-0.05980565082353402,0.13903592315931887,-0.31975931204973435,0.11347650677408688,0.0966717107266571,29154.45747748283
0.44,1751.4082669842337,1751.408,29992.747928011606,29988.685714285715,-0.010098140449154474,0.024091525470300232,0.013993385021145745,-0.06257029879621909,0.1325219876288957,-0.32078124631497335,0.1075167809655403,0.09662705816559096,29158.016529952663
0.46,1751.4722872361745,1751.472,29992.39299530289,29988.17142857143,-0.010167640400583244,0.022883084973451633,0.012715444572868377,-0.06520218733601223,0.12603648796501346,-0.3174421996654954,0.10170338019488631,0.096582255189288,29161.585749225964
0.48,1751.5363074280656,1751.536,29992.035589062547,29987.657142857144,-0.010238635501443535,0.021624824573819035,0.011386189072375489,-0.06770200023218974,0.11965039431993008,-0.311311550753228,0.09603822942804846,0.09653758751244527,29165.1653450486
0.5,1751.6003274313337,1751.6,29991.675656232717,29987.14285714286,-0.010311153652871387,0.02031939749505559,0.01000824384218419,-0.07007149687902592,0.1134070750102227,-0.30357660972349376,0.0905216602612535,0.09649333476502607,29168.75553180699
0.52,1751.6643471211069,1751.664,29991.313142861258,29986.628571428573,-0.01038521797364933,0.01896941003077146,0.008584192057122119,-0.07231307042658554,0.1073297287812503,-0.29507249767905885,0.08515305501757763,0.09644976844871934,29172.35652774991
0.54,1751.7283663769435,1751.728,29990.947994242375,29986.114285714284,-0.010460848241850663,0.017577413630712517,0.007116565388861843,-0.07442943551548552,0.10142786759418249,-0.28634231811832,0.07993129690576536,0.09640715041629287,29175.968554445935
0.56,1751.7923850833736,1751.792,29990.580155015497,29985.6,-0.010538061855117957,0.016145901631738672,0.005607839776620704,-0.07642342402130733,0.09570247891517174,-0.27770591379868104,0.06927980466730718,0.09636573173915389,29179.591836403706
0.58,1751.8564031309793,1751.856,29990.209569106122,29985.085714285713,-0.010616886927762557,0.014677338015814386,0.004060451088051818,-0.07829507904771142,0.0897179979183313,-0.3075883354261131,0.05659154362558874,0.09632574968252161,29183.226601350107
0.6,1751.9204204194957,1751.92,29989.836178625377,29984.571428571428,-0.010697402901482439,0.013174345927873955,0.002476943026391505,-0.08003260628530104,0.08279053390730745,-0.3671819521420263,0.04372809799873826,0.09628742108425362,29186.87308479728
0.62,1751.9844368572788,1751.984,29989.459922065584,29984.057142857142,-0.010779732428725866,0.011639937453360607,0.0008602050246347304,-0.08161413481546102,0.07455825144671682,-0.4350128371768123,0.030645380890486778,0.09625094477772847,29190.531537346225
0.64,1752.0484523596497,1752.048,29989.08073331187,29983.542857142857,-0.010864010762244225,0.01007761840475107,-0.0007863923574931663,-0.08301445668608674,0.0649884279580978,-0.49913813992768985,0.017369945171132904,0.0962165047893724,29194.20222864945
