time,east,north,altitude,velocity,gamma,heading,roll,pitch,yaw,roll_ref,pitch_ref,yaw_ref,roll_error,pitch_error,yaw_error,gamma_rate_cmd,heading_rate_cmd,gamma_rate_achieved,heading_rate_achieved,alpha_rad,beta_rad,clift,cdrag,cy,cl_roll,cm_pitch,cn_yaw,lift,drag,side_force,force_east,force_north,force_up,force_tangent,force_normal,force_lateral,speed_dot_force_m_s2,gamma_rate_force_rad_s,heading_rate_force_rad_s,quat_w,quat_x,quat_y,quat_z,quaternion_norm_error,dcm_orthogonality_error,body_x_east,body_x_north,body_x_up,body_force_x,body_force_y,body_force_z,dcm_force_east,dcm_force_north,dcm_force_up,dcm_force_delta_east,dcm_force_delta_north,dcm_force_delta_up,dcm_force_delta_norm,mx_cmd,my_cmd,mz_cmd,mx_allocated,my_allocated,mz_allocated,mx_aero,my_aero,mz_aero,allocation_residual_norm,left_elevon,right_elevon,rudder,body_flap,left_elevon_rate,right_elevon_rate,rudder_rate,body_flap_rate,qbar,load_factor
0.0,0.0,0.0,30000.0,1750.0,-0.017453292519943295,0.0,0.0,0.017453292519943295,0.0,0.2617993877991494,0.017336311252384398,0.017357652290940884,-0.2617993877991496,0.00011698126755899096,-0.017357652290940884,-8.355804825635514e-05,0.014464710242450565,-0.0025510935277428333,8.686947614188472e-05,0.03490658503988664,0.0,0.18364529599199214,0.0665085805107574,0.005226575783564252,0.05044001538263613,0.019271577308100758,0.015098996708074507,6408.8912713865575,2321.03010755195,182.39811554980375,-2208.8260281438115,182.39811554980375,6448.422726993932,-2321.0301075519506,6408.891271386558,182.39811554980375,-1.7630421147051059,-0.0025510935277428333,8.686947614188472e-05,0.9999619230641713,0.0,-0.008726535498373935,0.0,0.0,0.0,0.9998476951563913,0.0,0.01745240643728351,-2095.9491189301216,182.39811554980375,6485.989930571391,-2208.8260281438115,182.39811554980375,6448.422726993933,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,4800.0,-11.113220418104142,1562.1887061846796,3408.948361883959,-8.342661936170792,1460.5525353259297,8097.223693173121,3093.6999364534204,2423.8682910840585,1394.7624339386446,0.07417649320975901,-0.07417649320975901,0.05807306426182503,0.00304450629697949,0.0,0.0,0.0,0.0,29081.837883766693,0.5448247096294027
0.05,87.48577202832814,0.0001899954272426049,29998.46734887015,1749.9678556004228,-0.017580847196330438,4.3434738072889445e-06,1.0518896899736063e-05,0.017460501074442053,6.146133624707062e-06,0.2617993877991494,0.01722207959503073,0.01738962744180883,-0.26178886890224984,0.00023842147941133263,-0.017383481308184123,-7.404160608958793e-05,0.014487736640001237,-0.0025017876756173747,9.771356587827178e-05,0.03504134827077232,1.8023812359679614e-06,0.1838211127003139,0.06656999607750978,0.005206300412851779,0.07192854940841277,0.01886519410427725,0.015041576938896163,6416.1569463046935,2323.582620482425,181.72254572807236,-2210.428661615579,181.78043568420196,6456.013845384207,-2323.582620482425,6416.156945949729,181.79003662148182,-1.763918516658056,-0.002547667958457812,8.658165446342196e-05,0.9999619230641713,0.0,-0.008726535498373935,0.0,0.0,0.0,0.9998476951563913,0.0,0.01745240643728351,-2097.3717533058993,181.71835774606183,6493.622979842644,-2210.3816609237206,181.71835774606183,6456.029785321472,0.04700069185855682,-0.06207793814013485,0.015939937265102344,0.07947840611718894,4800.0,-29.353139941178895,1558.4304249743868,4798.838053630659,-29.33764496411935,1557.8794546486647,11548.849496484694,3028.9959859358164,2415.0759286240973,1.2860512273490996,0.10627332985254109,-0.10528165132072845,0.057851387127491716,0.0037602959117561943,0.6419367328556416,-0.6221031622193887,-0.004433542686666236,0.01431579229553409,29086.96056024244,0.5536833498724801
0.1,174.96974452259332,0.0007836883116127605,29996.923674696445,1749.9357806182607,-0.017705936580111308,9.229152101219995e-06,8.409742708792578e-05,0.017510936227332484,4.8351279583247475e-05,0.2617993877991494,0.01711007611620607,0.017422195812814678,-0.26171529037206165,0.00040086011112627773,-0.01737384453323143,-6.469453112086563e-05,0.014510805550594643,-0.002401408199480657,0.00012944660510349993,0.03521687280744379,3.911599524503187e-05,0.18402882766693515,0.06668538804163442,0.005113795226897118,0.07196237121427604,0.018199028064917872,0.01479822044799294,6424.548907405755,2328.0240509828936,178.52544057455603,-2213.9140834340496,179.0452960650431,6464.759554846809,-2328.024050982894,6424.548884687338,179.06572860723256,-1.7663931918626647,-0.0025437059798998156,8.52858920251686e-05,0.9999620171878598,1.553384243613821e-05,-0.008715724457458255,9.352416921897959e-06,1.1102230246251565e-16,1.3928832296234492e-18,0.9998480721194279,1.8433346000728012e-05,0.017430787110024992,-2100.38177965239,178.4343774602933,6502.534392925596,-2213.410347774796,178.19258917940758,6464.9406812484085,0.5037356592538345,-0.8527068856355129,0.18112640159961302,1.0068095254667266,4800.0,-64.87996505724374,1540.2183026023513,4798.836655818575,-64.84473866270818,1539.67809472611,11556.333778860066,2922.5557638004875,2376.4249557723383,1.2831348849126525,0.10695886299851338,-0.10470437374823847,0.0568981789560136,0.00512929821251777,0.013710662919445837,0.011545551449799463,-0.01906416342956227,0.027380046015231512,29092.130966899538,0.5717934888197314
0.15000000000000002,262.4519253341974,0.001874180483636077,29995.369305217813,1749.9037729842094,-0.017826006990085342,1.570148235652269e-05,0.00028355568482574256,0.01764484768014285,0.00015487651304590955,0.2617993877991494,0.017002585822031693,0.01745633320744533,-0.26151583211432383,0.000642261858111226,-0.01730145669439942,-5.570873412111014e-05,0.014533859770907367,-0.0022508739149533024,0.00017552800771795252,0.035470854670228036,0.00013915291869198476,0.18432094543265504,0.06685960443517389,0.0049520401848707355,0.07201604209546603,0.017199946970187553,0.014394951735367218,6435.900773069599,2334.524591664932,172.9094823123391,-2219.4360963017193,174.69957012389088,6476.491032275708,-2334.524591664932,6435.900514334078,174.73441853906203,-1.7706330064327445,-0.002538334717985863,8.322466416340242e-05,0.9999623890939267,7.764043461682791e-05,-0.008672503045231582,4.5392287826016244e-05,0.0,1.1102230246251565e-16,0.9998495712609413,8.943448735058964e-05,0.017344360777622164,-2104.8411079708662,172.5846247286297,6514.643503405461,-2217.532614647926,171.37968592143176,6477.183000748545,1.9034816537932784,-3.3198842024591215,0.6919684728372886,3.8889193732277354,4800.0,-118.64148008759892,1509.4261142161117,4798.834304739985,-118.5763739662213,1508.9040622929401,11567.026523086302,2762.6100659086746,2312.079137878957,1.2789145619429554,0.10800571107373264,-0.10383891930556555,0.05530097455816992,0.007193489970412252,0.02093696150438501,0.017309088853458554,-0.03194408795687359,0.041283835157889644,29097.347735687617,0.599013165318415
0.2,349.93232625649443,0.0036316326709921075,29993.804789541966,1749.8718293969007,-0.017938550685833006,2.4477882742512946e-05,0.0006713826370829956,0.01788790711795199,0.00034086569648117404,0.2617993877991494,0.01690185216313522,0.017492709895112757,-0.2611280051620666,0.0009860549548168507,-0.017151844198631583,-4.7272993513117374e-05,0.01455686001030842,-0.0020629215285494877,0.00023034965400484307,0.035826457803784795,0.0003163369096332121,0.18475128676239325,0.06708347805499616,0.004728935154549732,0.07208390489899281,0.01590640981695694,0.013863823846420039,6452.093255969942,2342.7650433758827,165.14921846162875,-2226.657291803778,169.42653771576195,6493.07727076427,-2342.7650433758827,6452.091801814492,169.48104152109568,-1.776396549351772,-0.0025306590751038253,8.07241570105979e-05,0.9999631642116518,0.0002173538736864681,-0.008579559503337636,0.00011889425294823018,1.1102230246251565e-16,2.220446049250313e-16,0.9998527540457706,0.0002340501457842376,0.01715853862125218,-2110.2075851960058,164.40810715700894,6531.869840883053,-2222.013237505386,161.06151694822407,6494.770670059451,4.644054298392348,-8.365020767537885,1.693399295180825,9.716399227114717,4800.0,-187.3449599139144,1468.332486432258,4798.8311730402875,-187.24165833011972,1467.8346448461898,11580.01976679185,2555.3074622852037,2227.1733809346865,1.2746269743671268,0.10934860928696452,-0.10273730792410447,0.053176397758707895,0.009827353646344758,0.026857964264637713,0.022032227629221468,-0.04249153598924055,0.052677273518650106,29102.608562017373,0.633072335798013
0.25,437.410962520689,0.006276689626989278,29992.230868264658,1749.839945494649,-0.01804169676226048,3.5995365442964555e-05,0.0013060220630816133,0.018250273551004195,0.0006132067937092422,0.2617993877991494,0.016809548239537512,0.017531734188214187,-0.26049336573606796,0.0014407253114665508,-0.016918527394504945,-3.9528598634713894e-05,0.014579782352309225,-0.001847666275988241,0.000290705373929573,0.0362919703132647,0.0005771174888400348,0.18534496973277115,0.06734833495160966,0.00445029041159294,0.07216245273547452,0.01436003339468563,0.013225749715237227,6474.005711005995,2352.4431536076013,155.44638509384782,-2235.270586995841,163.8211177097797,6515.386329149289,-2352.4431536076013,6474.000189671632,163.90157698527642,-1.7834502874232327,-0.002520261267587724,7.806821429516392e-05,0.9999643436349542,0.00046569261967154045,-0.008428479594282135,0.00023520380048984934,1.1102230246251565e-16,2.220446049250313e-16,0.999857810821802,0.0004625406664703392,0.0168565771960219,-2116.080524310596,154.08872319691926,6555.1019973566545,-2226.347042958126,146.97876866374617,6518.64084005293,8.923544037714692,-16.842349046033547,3.2545109036409485,19.336137173783662,4800.0,-268.06885373066496,1418.415679128378,4798.827374252232,-267.92066343802793,1417.9472284417545,11594.750083020313,2307.3079154549723,2125.056130933967,1.2713998399234774,0.11093123956230094,-0.10144706083352763,0.050601906217601626,0.012918264365662372,0.03165260550672844,0.02580494181153692,-0.05148983082212538,0.061818214386352294,29107.910330397073,0.6721546049341436
0.30000000000000004,524.8878519100499,0.010061200172268421,29990.648423480066,1749.808116139054,-0.01813408007605989,5.0530634139622777e-05,0.00222732512239876,0.018732556319380474,0.000974041215886956,0.2617993877991494,0.016726894207016507,0.017573664635498698,-0.2595720626767508,0.0020056621123640817,-0.016599623419611742,-3.257911200727908e-05,0.014602611667799135,-0.001612533078116518,0.0003546566796839341,0.03686663639544019,0.0009233587400543555,0.18610848312976316,0.06764691397453386,0.004120802666670104,0.07224937743151162,0.012598705019942511,0.012495490630681755,6501.867205075128,2363.3057671470574,143.96394654577497,-2245.0265747102794,158.33226432589177,6543.63608363012,-2363.3057671470574,6501.851077274312,158.44570674018544,-1.791596642748801,-0.0025070339652896595,7.547101921099339e-05,0.9999658028047189,0.000848105811517374,-0.008216856713148068,0.0003964888424734278,0.0,1.1102230246251565e-16,0.9998646521247068,0.000779013039472457,0.01643382396837191,-2122.184060706087,141.78170644913902,6584.561464484057,-2230.2118969729454,128.9169175270726,6549.026816431789,14.814677737334023,-29.415346798819172,5.3907328016684914,33.37360190172535,4800.0,-358.462310058361,1360.7312273033806,4798.822989958024,-358.26384249626994,1360.2967224277213,11610.846045931858,2024.6766071213299,2008.0895246296152,1.2702505654739906,0.11270867688502267,-0.10000675291120077,0.0476334137764432,0.016375287873713857,0.03554874645443462,0.02880615844653711,-0.05936984882316851,0.06914047016102969,29113.249325223467,0.7149153749209718
0.35000000000000003,612.3630140579235,0.015256964320025365,29989.058440412515,1749.7763356325588,-0.018214706729965717,6.826346812394135e-05,0.003456566266393679,0.019329326677603394,0.0014226773038084062,0.2617993877991494,0.016654777742168347,0.017618669235800688,-0.2583428215327559,0.0026745489354351726,-0.016195991931992282,-2.650040553752002e-05,0.014625338139730444,-0.0013635358431169785,0.00042094463358792407,0.03754403340756918,0.0013541891612046482,0.1870369341018329,0.06797257352596586,0.0037446572889257,0.0723430203058361,0.01065935712646503,0.011684579897845219,6535.5092046520795,2375.12116029968,130.8471094095077,-2255.7025466237824,153.2835033539201,6577.645780650054,-2375.12116029968,6535.470162047971,153.43748507554608,-1.8006522569141725,-0.0024910601531570827,7.308693253717404e-05,0.9999672976333867,0.0013789590911895077,-0.00794597859623372,0.0006029591653513469,0.0,1.1102230246251565e-16,0.9998729957287862,0.00118396453547199,0.015893100399902483,-2128.310579796361,127.63062708517826,6620.060917785644,-2233.388254946845,106.78978058574344,6585.7250854909,22.3142916769375,-46.49372276817667,8.079304840845907,52.20027812760031,4800.0,-456.44506606208904,1296.1146426864511,4798.818085161485,-456.19208654757097,1295.7181418817606,11628.040183127969,1713.3295301861717,1878.1184971365178,1.2720590428071528,0.11464145540388704,-0.09845076647473787,0.04431568153269485,0.020117728907807417,0.038655570377287285,0.031119728729258056,-0.06635464487496703,0.07484882068187121,29118.62139259707,0.7602597112746499
0.4,699.8364698891976,0.022148739869711314,29987.461978020998,1749.7445978850308,-0.018282883522121565,8.931069980322448e-05,0.005004880357631247,0.020031143088314697,0.001956645914864108,0.2617993877991494,0.01659381724163872,0.017666857181061868,-0.2567945074415183,0.003437325846675776,-0.01571021126619776,-2.1345911518791653e-05,0.014647955401048827,-0.0011059409148787731,0.0004886925272883395,0.03831402661043626,0.0018670231324438584,0.1881181616033918,0.06831890726528804,0.0033258515916483817,0.0724420728651436,0.008579184394359469,0.010802910513970506,6574.508987084084,2387.665635125481,116.23461016539058,-2267.0871214828135,148.9366291426104,6616.9788602555855,-2387.6656351254815,6574.426645385555,149.1391036856866,-1.8104375113196698,-0.002472544950580524,7.104085992609264e-05,0.9999684728788762,0.0020658068232980308,-0.007619517057651256,0.0008536101365698034,0.0,1.1102230246251565e-16,0.9998824286190858,0.0016756855487434072,0.015242080459717275,-2134.2917523248057,111.77658319808799,6661.150861706687,-2235.717973220455,80.59198075630665,6628.249857078839,31.36914826235852,-68.34464838630375,11.270996823253881,76.03979086730263,4800.0,-560.0579668650698,1225.291971639902,4798.812716644722,-559.74732702434,1224.9371006068507,11646.120997373055,1379.2291628855364,1736.725607006064,1.2775258613693663,0.11669258477944482,-0.09681163497272906,0.040687952838758625,0.024069449491201156,0.04102258751115556,0.03278263004017623,-0.0725545738787245,0.07903441166787477,29124.022064321274,0.8072276478177844
0.45,787.3082411345313,0.0310295716197069,29985.86014432701,1749.7128965533195,-0.018338180567865504,0.00011374532616770239,0.006877964990636087,0.020825775743427553,0.002572285791730078,0.2617993877991494,0.016544395323215756,0.017718296711783044,-0.2549214228085135,0.004281380420211978,-0.015146010920052966,-1.7149392003808216e-05,0.014670459488012915,-0.0008445951018380736,0.0005572427254856394,0.0391639563112931,0.002458127087253861,0.18933515513155977,0.06867958331193655,0.0028683650128649126,0.07254541477309304,0.0063960050782297054,0.009859589150785551,6618.273963182662,2400.71791062672,100.2646627793827,-2278.973392006638,145.52533886767176,6661.026983086756,-2400.7179106267204,6618.117420434098,145.78456049751074,-1.8207722197010032,-0.002451775528826203,6.944428667995509e-05,0.9999688718513592,0.0029125543245997663,-0.007242758688819122,0.0011466482467788327,0.0,2.220446049250313e-16,0.9998924552887474,0.0022510352512012314,0.014491745820920074,-2139.9845062114796,94.36309607849086,6707.205950320969,-2237.0842634224528,50.3636739080123,6675.92444830271,41.88912858418507,-95.16166495965946,14.897465215953162,105.03511813340053,4800.0,-667.3957553419772,1148.939731704013,4798.806937471577,-667.0253630346081,1148.6297125773579,11664.90700194684,1028.4427300455868,1585.3681570509805,1.287128788030732,0.1188261787476842,-0.09512107107606094,0.036786976539673416,0.028156337938520046,0.04267187936478761,0.033811277933362416,-0.07801952598170417,0.08173776894637781,29129.446662031438,0.8549372133671944
