controller,model,h_rms,v_rms,mission_h_rms,mission_v_rms,inlet_margin_min,inlet_margin_active_time,propulsion_limit_active_time,throttle_peak,throttle_rate_peak,alpha_max,alpha_limit_margin_min,q_max,q_violation_integral,heat_proxy_max,tracking_pass,inlet_pass,input_pass,q_pass,thermal_pass,case_pass
baseline,teaching_airbreathing_longitudinal,1871.6644590947549,68.89948893325816,1871.6644590947549,68.89948893325816,-1.3977783149991863,0.0,28.84,0.5978534665910896,0.009348490429630929,0.13959626279963538,0.04366330865976922,43014.14239090761,8292.836812698188,80663.3535720443,True,False,True,False,True,False
cruise_guard,teaching_airbreathing_longitudinal,2244.9658533319457,95.70344791121782,1920.8188075225128,62.22730232868426,0.11251361050657882,32.04,32.04,0.48,0.00864081795136501,0.14128202746741433,0.041977543991990274,39575.37238977406,0.0,69152.38370025715,True,True,True,True,True,True
