case_id,seed,controller,rho0,thrust_max,cl_alpha,cd_alpha2,actuator_wn,h_rms,v_rms,q_max,q_margin_min,q_violation_integral,alpha_max_rad,delta_max_rad,delta_rate_max_rad_s,throttle_span,tracking_pass,q_pass,alpha_pass,delta_pass,delta_rate_pass,pass
0,1,baseline,1.1533353918460307,58821.77110630956,2.3392729988196526,0.800034081250842,23.000513619970235,428.46089206807613,417.14017895529594,63301.04797305066,6698.952026949337,0.0,0.07664303769625636,0.05512384816853996,0.5391517354418598,0.4125170443747724,True,True,True,True,True,True
0,1,smc,1.1533353918460307,58821.77110630956,2.3392729988196526,0.800034081250842,23.000513619970235,342.01112611810544,24.694551807509722,35323.85419883763,34676.14580116237,0.0,0.12217187189370615,0.20863807389108824,1.3962634015954636,0.07073713248737987,True,True,True,True,True,True
1,2,baseline,1.314382717290293,59926.10235765284,1.9658591221597552,0.76531388701242,23.12022064950546,736.792218769414,403.9349540876644,79239.27279812888,-9239.272798128877,81125.01520416298,0.07881605119423613,0.04499257671269964,0.015686784255816547,0.4339493697878582,True,False,True,True,True,False
1,2,smc,1.314382717290293,59926.10235765284,1.9658591221597552,0.76531388701242,23.12022064950546,710.8459908349981,38.58357746379701,45372.716979618526,24627.283020381474,0.0,0.1221674315142713,0.16065256730725352,1.3962634015954636,0.04392948873476025,True,True,True,True,True,True
2,3,baseline,1.1736410669100108,55486.52147825547,2.131336327937386,0.8711996878736237,18.78690874426217,756.0956396874935,401.81905523971426,71019.86743965799,-1019.8674396579881,1436.7008931110101,0.07555449314259707,0.047481819397738115,0.29682651962118173,0.3940129186928957,True,False,True,True,True,False
2,3,smc,1.1736410669100108,55486.52147825547,2.131336327937386,0.8711996878736237,18.78690874426217,474.0776509238685,23.89963489372198,38509.70453000719,31490.29546999281,0.0,0.12216817024977117,0.22511352643922095,1.3962634015954636,0.07518077566521696,True,True,True,True,True,True
3,4,baseline,1.173265425588537,50634.82637653787,2.1451187520984396,0.7796143432436916,24.758503284378943,1028.0385136474479,376.44540484732124,74815.31724433269,-4815.317244332691,20378.79174444162,0.08029448414775774,0.04201317387841166,0.1959050011223977,0.3740338132531749,False,False,True,True,True,False
3,4,smc,1.173265425588537,50634.82637653787,2.1451187520984396,0.7796143432436916,24.758503284378943,1077.9008702099466,24.489832217117648,44563.84845175334,25436.151548246657,0.0,0.1221655859484448,0.19155553328564232,1.3962634015954636,0.08125370004193007,False,True,True,True,True,False
