controller,model,prediction_horizon_steps,dt_s,q_limit_pa,v_rms_m_s,h_rms_m,q_max_pa,q_margin_min_pa,q_violation_integral,throttle_rate_peak_per_s,gamma_command_rate_peak_rad_s,solver_success_rate,solver_time_max_ms,solver_time_p95_ms,fallback_count,recursive_feasibility_failures,tracking_pass,q_pass,realtime_pass,feasibility_pass,case_pass
naive,reduced_velocity_altitude_gamma,0,0.25,45000.0,197.5103205312797,779.4949173806821,46785.539717552754,-1785.5397175527542,8993.869713967615,0.3318049227891363,0.34265947957868254,1.0,0.0,0.0,0,0,False,False,True,True,False
finite_set_mpc,reduced_velocity_altitude_gamma,12,0.25,45000.0,124.9219354983047,626.04993392082,41667.42597224882,3332.5740277511795,0.0,0.40000000000000013,0.2792526803190927,1.0,2.7751000015996397,1.9803000031970441,0,0,True,True,True,True,True
