time,mach,altitude,velocity,qbar,alpha_rad,beta_rad,left_elevon,right_elevon,rudder,body_flap,clift,cdrag,cy,cl_roll,cm_pitch,cn_yaw,lift,drag,side_force,mx,my,mz,lift_to_drag
0.0,7.5,29413.728289325874,2212.5,50428.429732384146,0.06981317007977318,0.025102662500371565,0.0,-0.008668584862768955,-0.013593264481888577,0.028109299354701904,0.21909564307435606,0.06705266578568603,-0.005741873053436854,0.0009391058533117194,-0.008128117307227714,-0.0005219292652464424,13258.379089736018,4057.6327739310077,-347.46437016901245,261.4141371132038,-2262.5828225122773,-145.28680449320817,3.2675157729691215
0.05,7.514399846400491,29421.078085580637,2216.747954688145,50570.60964210642,0.07106977698213678,0.02553804928234268,0.0008115456056278892,-0.009330350840251639,-0.01315799923047277,0.028458155033722572,0.22113773463944303,0.06726042002507947,-0.005781068801564232,0.001405200849011625,-0.008983561090699732,-0.00035651388604179867,13419.684066709186,4081.6805345428934,-350.8226084136777,392.26148709476115,-2507.758969348131,-99.52076758781637,3.287784027470943
0.1,7.528798771215729,29428.41514425542,2220.99563750864,50712.89526275801,0.07232620293527782,0.025971131272700104,0.0016228962413275337,-0.009989875245823624,-0.012720335970117302,0.028803873229976563,0.22317958304706187,0.067467862770468,-0.005819633866396575,0.0018706518038153859,-0.009838100589335581,-0.0001907515995064864,13581.69938382198,4105.788789937048,-354.15657928100273,523.661252879884,-2754.030477538421,-53.39808369610755,3.3079391266081717
0.15000000000000002,7.543195852919438,29435.73924340476,2225.242776611234,50855.27587390651,0.07358226701603018,0.026401869386088142,0.002433856984011276,-0.010646999631918772,-0.012280354463739965,0.02914641582838291,0.22522087354160314,0.06767497126234279,-0.005857568391232462,0.002335341698529165,-0.010691615023320842,-2.4667834241814002e-05,13744.403587824527,4129.955199966165,-357.46590778368187,655.5797437887303,-3001.362174148188,-6.924782125997452,3.327978857479405
0.2,7.557590170103304,29443.050161475214,2229.489100180475,50997.740729597914,0.07483778835333671,0.02683022474868445,0.0032442330042613803,-0.01130156612756406,-0.011838134896752464,0.02948574506396711,0.22726129146354718,0.06788172277774818,-0.005894872595470923,0.0027991537249258936,-0.011543983706806054,0.00014171189668649295,13907.774903917874,4154.177398197651,-360.7502211094057,787.9828479118454,-3249.7183261265154,39.89296584165567,3.347901057367449
0.25,7.5719808015359416,29450.347677312067,2233.734336453103,51140.27905925844,0.07609258615429432,0.02725615870170828,0.0040538296131368634,-0.011953417476307363,-0.011393757862446863,0.029821823526024655,0.22930052229602313,0.06808809463304552,-0.005931546773927709,0.003261971314274374,-0.012395086065233098,0.0003083619999688092,14071.791238382802,4178.452992176573,-364.0091487260486,920.836040589987,-3499.0626450742952,87.04884738781121,3.3677036129710647
0.30000000000000004,7.58636682622185,29457.631570166024,2237.978213735446,51282.88006860542,0.07734647973018798,0.027679632804909496,0.004862452308946578,-0.012602397073997518,-0.010947304347307674,0.030154614162245515,0.23133825171134423,0.06829406418667278,-0.005967591296141399,0.003723678165808234,-0.013244801652654051,0.00047525680628914425,14236.430181352462,4202.779563699336,-367.2423224861675,1054.10439316758,-3749.3582922640953,134.5364086489047,3.3873844596363716
0.35000000000000003,7.60074732346036,29464.90161969988,2242.2204604208064,51425.532940566394,0.07859928852250947,0.028100608840037695,0.0056699068239772984,-0.013248349006407758,-0.010498855716252285,0.030484080282799152,0.2333741656175133,0.0684996088418991,-0.00600300660566949,0.004184158275127903,-0.01409301016903973,0.0006423705745789289,14401.669009728752,4227.154669097994,-370.4493767307528,1187.7525820178566,-4000.5678839118873,182.34905526968714,3.406941580588494
0.4,7.615121372904556,29472.157605995188,2246.460805006844,51568.22683620651,0.07985083212895755,0.02851904881429147,0.006475999171165623,-0.013891118086693325,-0.010048493697802448,0.030810185564379488,0.2354079502046916,0.06870470604957458,-0.006037793219374685,0.004643295962528725,-0.0149395914775756,0.0008096774962863392,14567.48469024233,4251.575839535221,-373.62994839218794,1321.7448978375435,-4252.653496700435,230.4800530155146,3.4263730061639532
0.45,7.629488054620182,29479.39930955892,2250.698976112954,51710.95089566432,0.08110093032941557,0.028934914963747133,0.007280535690702416,-0.014530549892674379,-0.00959630036918946,0.03113289405420955,0.23743929199162395,0.0689093333108742,-0.006071951726701536,0.0051009759012483405,-0.015784425621942443,0.0009771516996603963,14733.853882656202,4276.040581309898,-376.78367709636876,1456.0452552087982,-4505.576673553973,278.9225284443203,3.4456768130443507
0.5,7.643846449144511,29486.626511330098,2254.9347024976305,51853.69423909527,0.08234940311190277,0.029348169756766993,0.00808332309655865,-0.01516649080393518,-0.009142358141395834,0.03145217017400521,0.23946787787201376,0.06911346818003614,-0.006105482788943684,0.005557083145626544,-0.016627392843579173,0.0011447672540491221,14900.75294311249,4300.54637617324,-379.9102052639332,1590.6172024259076,-4759.298429663599,327.66946963848306,3.464851123491812
0.55,7.658195637545194,29493.838992686415,2259.167713075832,51996.44596762327,0.08359607069849585,0.029758775897386475,0.008884168522921452,-0.015798788038730652,-0.008686749744136121,0.03176797872389765,0.24149339516084134,0.06931708826709367,-0.006138387138501816,0.006011503159170799,-0.01746837359892548,0.0013124981742109855,15068.157927622298,4325.090681655491,-383.00917821055594,1725.423931584116,-5013.7792587628965,376.7137269967707,3.483894104586668
0.6000000000000001,7.672534701479071,29501.036535450858,2263.397736936326,52139.195164299425,0.08484075357121658,0.030166696328680066,0.009682879570529178,-0.01642728969069146,-0.008229558210779636,0.03208028488631415,0.24351553164061818,0.06952017124060071,-0.006170665578132579,0.006464121842520612,-0.01830724857664147,0.0014803184246389022,15236.044595697987,4349.670931403036,-386.0802442462549,1860.428288927721,-5268.979139652864,426.048014086509,3.5028039674678166
0.65,7.686862723250945,29508.218921898315,2267.624503359029,52281.93089506853,0.08608327249788209,0.030571894236105745,0.01047926435289441,-0.017051844765318798,-0.007770866863217874,0.03238905422981663,0.245533975607571,0.06972269483035022,-0.006202318980188643,0.006914825561304032,-0.019143898714802043,0.0016482019238960419,15404.388414127763,4374.284535525986,-389.12305477367346,1995.5927854544805,-5524.857542975483,475.6649085561102,3.521578966576179
0.7000000000000001,7.7011787858723135,29515.385934762133,2271.8477418323323,52424.64220974242,0.08732344855791399,0.030974333050827384,0.011273131542403773,-0.017672303216260076,-0.007310759296679312,0.03269425271289774,0.24754841591774865,0.0699246368300855,-0.006233348285850067,0.007363501173879518,-0.019978205218063316,0.0018161225489626647,15573.164560891773,4398.928880956091,-392.1372643852812,2130.879607773119,-5781.373438234776,525.5568531080403,3.540217398901662
0.75,7.715481973120055,29522.53735724073,2276.0671820704165,52567.3181429805,0.08856110316810265,0.031373976453015116,0.012064290416283457,-0.018288515981356827,-0.006849319364494418,0.03299584668773385,0.24955854203304517,0.07012597510020377,-0.006263754504347218,0.007810036058956488,-0.02081004957479858,0.001984054139593265,15742.347929219346,4423.601331814968,-395.1225309594568,2266.2506292106204,-6038.485301064374,575.7161565323092,3.5587176032340118
0.8,7.729771369595068,29529.672973004115,2280.282554030545,52709.94771527684,0.08979605810832285,0.031770788375123135,0.01285255090241947,-0.018900335018456223,-0.00638663116281361,0.03329380290389474,0.2515640440671328,0.07032668757045162,-0.006293538712175389,0.008254318143087885,-0.02163931357420145,0.0021519705026832375,15911.913131786601,4448.299229792537,-398.0785157554026,2401.6674211657773,-6296.1511207403255,626.134994800508,3.577077959417922
0.8500000000000001,7.744046060780855,29536.792566200456,2284.493587930352,52852.51993395418,0.09102813554719723,0.03216473300514484,0.013637723625021515,-0.01950761334097741,-0.005922779015280967,0.03358808851200936,0.2535646128312973,0.07052675224261253,-0.006322702052301357,0.008696235928028049,-0.022465879323353356,0.002319845416644329,16081.834505053816,4473.0198945356715,-401.0048835068526,2537.091264705319,-6554.328407937808,676.805412220414,3.5952968876127063
0.9,7.758305133102053,29543.895921462605,2288.7000142651054,52995.02379416379,0.09225715806770356,0.032555774789844734,0.014419619950119646,-0.020110205053224396,-0.005457847457666481,0.033878671067387525,0.25555993988016945,0.0707261471931852,-0.0063512457333620344,0.009135678517949396,-0.023289629264253153,0.002487652635788083,16252.086113741578,4497.760624046856,-403.90130251452274,2672.483162398767,-6812.974202730247,727.7193226511246,3.6133728475569202
0.9500000000000001,7.772547673982901,29550.9828239146,2292.9015638249557,53137.44827989192,0.09348294869272265,0.03294387843796718,0.015198052030882652,-0.020707965385436764,-0.0049919212224596365,0.034165518533596825,0.25754971755734707,0.07092485057605316,-0.006379171028855459,0.009572535646511227,-0.024110446190806267,0.002655365894716556,16422.641755445162,4522.518695092905,-406.76744473727024,2807.8038503879943,-7072.04508282935,778.8685107786882,3.631304337838187
