controller,theta_gain,rate_gain,acceleration_filter_alpha,inertia_y,damping_q,actuator_tau,moment_effectiveness,command_delay_steps,attitude_rms_rad,attitude_peak_rad,post_disturbance_rms_rad,rate_max_rad_s,accel_estimation_error_rms_rad_s2,command_increment_rms_nm,command_increment_max_nm,command_saturation_fraction,actual_saturation_fraction,moment_rate_max_nm_s,tracking_pass,rate_pass,input_pass,acceleration_feedback_pass,case_pass
model_pd,70000.0,12000.0,0.0,52000.0,1700.0,0.12,0.68,3,0.05716150110715294,0.09610135614260454,0.04376419623094345,0.08878313416433149,0.00556005661242393,111.01801471568764,360.0,0.32963374028856823,0.0,17307.90684944592,False,True,False,True,False
indi,1.5,1.5,0.25,52000.0,1700.0,0.12,0.68,3,0.045065176161039396,0.12034960232954388,0.03634785098775048,0.07511225355322908,0.006103149897662827,196.19613217348768,360.0000000000002,0.14872364039955605,0.0,16664.883238010796,True,True,True,True,True
