controller,fault_type,fault_start_time,fault_magnitude,h_rms,v_rms,q_max,q_margin_min,q_violation_integral,alpha_max_rad,delta_max_rad,delta_rate_max_rad_s,throttle_span,tracking_pass,q_pass,alpha_pass,delta_pass,delta_rate_pass,pass,fault_active_time,fault_detection_delay,fault_detected,false_alarm_count,missed_fault_count,fault_residual_max,altitude_est_rms,velocity_est_rms,alpha_est_rms,q_est_error_max,q_est_margin_min,post_fault_h_rms,post_fault_v_rms,post_fault_q_violation_integral
baseline,none,0.0,0.0,291.03576392991187,218.07404913795244,51739.982756229896,18260.017243770104,0.0,0.07723327205853671,0.04337654687152077,0.08391508791502165,0.24265745176054687,True,True,True,True,True,True,0.0,inf,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18260.017243770104,291.03576392991187,218.07404913795244,0.0
guarded,none,0.0,0.0,291.03576392991187,218.07404913795244,51739.982756229896,18260.017243770104,0.0,0.07723327205853671,0.04337654687152077,0.08391508791502165,0.24265745176054687,True,True,True,True,True,True,0.0,inf,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18260.017243770104,291.03576392991187,218.07404913795244,0.0
baseline,alpha_sensor_bias,18.0,0.03490658503988659,291.11797001978374,218.08463583567183,51763.86657964443,18236.133420355567,0.0,0.07723327205853671,0.04337654687152077,0.2916362853757332,0.24280111269727794,True,True,True,True,True,True,2.1,0.1999999999999993,True,0.0,0.0,4.000000000000001,0.0,0.0,0.011282854350691717,0.0,18236.133420355567,557.7128092046619,334.7015789160591,0.0
guarded,alpha_sensor_bias,18.0,0.03490658503988659,291.11797001978374,218.08463583567183,51763.86657964443,18236.133420355567,0.0,0.07723327205853671,0.04337654687152077,0.2916362853757332,0.24280111269727794,True,True,True,True,True,True,2.1,0.1999999999999993,True,0.0,0.0,4.000000000000001,0.0,0.0,0.011282854350691717,0.0,18236.133420355567,557.7128092046619,334.7015789160591,0.0
baseline,elevator_loss,18.0,0.35,291.07662912454276,218.07994898588083,51752.989105193825,18247.010894806175,0.0,0.07723327205853671,0.04337654687152077,0.13528981501000348,0.24274222507530874,True,True,True,True,True,True,2.1,0.1999999999999993,True,0.0,0.0,1.673033616982982,0.0,0.0,0.0,0.0,18247.010894806175,557.5062404492722,334.67234820332123,0.0
guarded,elevator_loss,18.0,0.35,291.07662912454276,218.07994898588083,51752.989105193825,18247.010894806175,0.0,0.07723327205853671,0.04337654687152077,0.13528981501000348,0.24274222507530874,True,True,True,True,True,True,2.1,0.1999999999999993,True,0.0,0.0,1.673033616982982,0.0,0.0,0.0,0.0,18247.010894806175,557.5062404492722,334.67234820332123,0.0
baseline,input_delay,18.0,0.12,291.03552920458765,218.08682558389913,51747.36465202871,18252.635347971293,0.0,0.07723327205853671,0.04337654687152077,0.08391508791502165,0.24276536902668355,True,True,True,True,True,True,2.1,inf,False,0.0,1.0,0.03570856537302047,0.0,0.0,0.0,0.0,18252.635347971293,557.3008289771915,334.715235169748,0.0
guarded,input_delay,18.0,0.12,291.03552920458765,218.08682558389913,51747.36465202871,18252.635347971293,0.0,0.07723327205853671,0.04337654687152077,0.08391508791502165,0.24276536902668355,True,True,True,True,True,True,2.1,inf,False,0.0,1.0,0.03570856537302047,0.0,0.0,0.0,0.0,18252.635347971293,557.3008289771915,334.715235169748,0.0
