time,mx_cmd,my_cmd,mz_cmd,mx_achieved,my_achieved,mz_achieved,mx_residual,my_residual,mz_residual,residual_norm,left_elevon,right_elevon,rudder,body_flap,left_elevon_target,right_elevon_target,rudder_target,body_flap_target,left_elevon_rate,right_elevon_rate,rudder_rate,body_flap_rate,saturated,rate_limited
0.0,0.0,826.4345148113374,-593.7695022108551,-0.04170905841822048,744.4892392401713,-587.9985635091217,0.04170905841822048,81.94527557116612,-5.770938701733371,82.1482419871483,-0.012971189419414891,-0.01598452725062518,-0.0265340565380178,-0.029670597283903605,-0.012971189419414891,-0.01598452725062518,-0.0265340565380178,-0.03419797742269232,0.0,0.0,0.0,0.0,0.0,1.0
0.02,17.679863746448355,835.6610077960614,-583.0664647288974,17.63425511890452,835.2034462550132,-582.7333421521118,0.04560862754383521,0.45756154104822144,-0.33312257678551305,0.5678145488776027,-0.01276039458111589,-0.01652354404597426,-0.02606201324319185,-0.03454341932404697,-0.01276039458111589,-0.01652354404597426,-0.02606201324319185,-0.03454341932404697,0.010539741914950083,-0.026950839767454077,0.02360216474129751,-0.24364110200716815,0.0,0.0
0.04,35.35890997914723,844.8631329650117,-572.3510895823016,35.3094028523742,844.400456327854,-572.0229340019938,0.0495071267730296,0.4626766371576423,-0.32815558030779357,0.5693915270356331,-0.012549220946982811,-0.017062083831092867,-0.02558943223921881,-0.03488786466081243,-0.012549220946982811,-0.017062083831092867,-0.02558943223921881,-0.03488786466081243,0.010558681706653895,-0.02692698925593033,0.023629050198652017,-0.017222266838273076,0.0,0.0
0.06,53.03632122214885,854.0406219848709,-561.6236035080058,52.98291686622071,853.572843771589,-561.3004218890227,0.05340435592813719,0.4677782132819175,-0.3231816189830852,0.5710646556230303,-0.01233768186483438,-0.01760012378520762,-0.025116322152796213,-0.03523130312741611,-0.01233768186483438,-0.01760012378520762,-0.025116322152796213,-0.03523130312741611,0.01057695410742153,-0.026901997705737653,0.023655504321129853,-0.01717192333018404,0.0,0.0
0.08,70.71128007510706,863.1932072407092,-550.884233499215,70.65397996023793,862.7203411189076,-550.5660327330249,0.0573001148691219,0.4728661218015304,-0.3182007661901025,0.5728327853009136,-0.012125790692787377,-0.018137641102515055,-0.024642691621508395,-0.03557372444742749,-0.012125790692787377,-0.018137641102515055,-0.024642691621508395,-0.03557372444742749,0.010594558602350194,-0.026875865865371752,0.023681526564390924,-0.01712106600056905,0.0,0.0
0.1,88.38296925107377,872.3206218437891,-540.1332068005983,88.32177504757111,871.8426816282938,-539.8199937051422,0.0611942035026658,0.4779402154953232,-0.31321309545603526,0.5746947218264608,-0.01191356079854097,-0.018674612993170345,-0.02416854929371005,-0.035915118373865074,-0.01191356079854097,-0.018674612993170345,-0.02416854929371005,-0.035915118373865074,0.010611494712320368,-0.02684859453276449,0.023707116389917217,-0.017069696321879088,0.0,0.0
0.12,106.0505716142902,881.4225996393475,-529.3707509034789,105.98548519249763,880.9395992918013,-529.0625322230209,0.06508642179257151,0.4830003475461808,-0.30821868045802603,0.5766492287472331,-0.0117010055586608,-0.019211016684275422,-0.0236939038284096,-0.03625547468950218,-0.0117010055586608,-0.019211016684275422,-0.0236939038284096,-0.03625547468950218,0.010627761994008462,-0.02682018455525386,0.02373227326502251,-0.017017815781855336,0.0,0.0
0.14,123.71327021797107,890.498875214357,-518.5970935410226,123.64429364820246,890.0108288428142,-518.2938759460014,0.06897656976860844,0.4880463715427368,-0.303217595021124,0.5786950301181695,-0.011488138357862889,-0.019746829420866686,-0.02321876389515242,-0.0365947832071722,-0.011488138357862889,-0.019746829420866686,-0.02321876389515242,-0.0365947832071722,0.010643360039895577,-0.02679063682956319,0.023756996662858965,-0.01696542588350107,0.0,0.0
0.16,141.37024834207998,899.5491839052648,-507.81246268341675,141.29738389454286,899.0561057637774,-507.5142527702973,0.07286444753711407,0.49307814148744455,-0.29820991311947864,0.5808308132411092,-0.011274972588297304,-0.020282028466901945,-0.022743138173903697,-0.03693303377007258,-0.011274972588297304,-0.020282028466901945,-0.022743138173903697,-0.03693303377007258,0.01065828847827922,-0.02675995230176295,0.023781286062436215,-0.016912528145018868,0.0,0.0
0.18,159.02068953109463,908.5732618057109,-497.01708653304814,158.9439396758047,908.0751662939126,-496.7238908241722,0.07674985528993261,0.49809551179828304,-0.2931957088759418,0.5830552314008384,-0.011061521648831747,-0.020816591106246864,-0.022267035354931165,-0.037270216252068264,-0.011061521648831747,-0.020816591106246864,-0.022267035354931165,-0.037270216252068264,0.010672546973277894,-0.02672813196724598,0.02380514094862656,-0.01685912409978424,0.0,0.0
0.2,176.66377763175933,917.570845774223,-486.21119351967315,176.583145038445,917.0677474369106,-485.92301846311085,0.08063259331433414,0.5030983373123945,-0.28817505656229514,0.5853669065942938,-0.010847798944335069,-0.021350494643660702,-0.021790464138687567,-0.037606320557994136,-0.010847798944335069,-0.021350494643660702,-0.021790464138687567,-0.037606320557994136,0.010686135224833877,-0.026695176870691895,0.0238285608121799,-0.016805215296293585,0.0,0.0
0.22,194.29869683082393,926.5416734418903,-475.39501229558493,194.2141843688212,926.0335869685974,-475.1118642649866,0.08451246200272067,0.5080864732929058,-0.2831480305983405,0.5877644322419507,-0.01063381788496064,-0.021883716405781257,-0.021313433235692944,-0.037941336623956476,-0.01063381788496064,-0.021883716405781257,-0.021313433235692944,-0.037941336623956476,0.010699052968721461,-0.026661088106027728,0.023851545149731167,-0.016750803298117012,0.0,0.0
0.24,211.92463169276675,935.4854832200137,-464.56877173077453,211.83624243090458,934.9724234445836,-464.29065702522206,0.08838926186217577,0.5130597754301789,-0.2781147055524684,0.5902463758648095,-0.010419591885429782,-0.02241623374210915,-0.020835951366416604,-0.03827525441763363,-0.010419591885429782,-0.02241623374210915,-0.020835951366416604,-0.03827525441763363,0.010711299976542878,-0.026625866816394617,0.02387409346381701,-0.01669588968385774,0.0,0.0
0.26,229.54076719750043,944.4020143077336,-453.7327009080883,229.4485044039761,943.8839962078849,-453.4596257519464,0.09226279352432698,0.5180180998486321,-0.2730751561418856,0.5928112817259934,-0.010205134364315126,-0.02294802402599119,-0.02035802726115892,-0.03860806393857564,-0.010205134364315126,-0.02294802402599119,-0.02035802726115892,-0.03860806393857564,0.010722876055732806,-0.026589514194102007,0.023896205262884107,-0.016640476047100408,0.0,0.0
0.28,247.14628877805794,953.2910066996355,-442.8870291183806,247.05015592030324,952.7680453965274,-442.6189996611493,0.09613285775469649,0.5229613031081044,-0.26802945723130733,0.5954576734179521,-0.009990458743324127,-0.023479064655603017,-0.01987966965993294,-0.038939755218503146,-0.009990458743324127,-0.023479064655603017,-0.01987966965993294,-0.038939755218503146,0.01073378104954996,-0.026552031480591397,0.023917880061299045,-0.01658456399637534,0.0,0.0
0.3,264.74038235825833,962.1522011933309,-432.03198585566184,264.64038310279574,961.6243119511196,-431.769008171828,0.09999925546259192,0.5278892422113586,-0.2629776838338671,0.5981840563991826,-0.009775578446582502,-0.02400933305493068,-0.01940088731234567,-0.03927031832160504,-0.009775578446582502,-0.02400933305493068,-0.01940088731234567,-0.03927031832160504,0.010744014837081248,-0.02651341996638308,0.0239391173793636,-0.016528155155094704,0.0,0.0
0.32,282.32223439034937,970.9853393970164,-421.16780081224243,282.21837260263885,970.4525376224123,-420.9098809011316,0.10386178771051391,0.5328017746041951,-0.25791991111083235,0.6009889204596229,-0.00956050689991797,-0.02453880667475146,-0.018921688977479166,-0.03959974334483556,-0.00956050689991797,-0.02453880667475146,-0.018921688977479166,-0.03959974334483556,0.010753577333226603,-0.026473680991039028,0.023959916743325135,-0.016471251161526146,0.0,0.0
0.34,299.89103189262585,979.790163737008,-410.2947038738724,299.783311636902,979.2524649788243,-410.041847659501,0.10772025572384791,0.5376987581837511,-0.25285621437137706,0.603870742122669,-0.009345257530143989,-0.025067462993613558,-0.01844208342377144,-0.03992802041821006,-0.009345257530143989,-0.025067462993613558,-0.01844208342377144,-0.03992802041821006,0.010762468488699061,-0.02643281594310494,0.023980277685386325,-0.01641385366872479,0.0,0.0
0.36,317.44596248702146,988.5664174652517,-399.41292511487745,317.33438802612034,988.0238374139525,-399.1651384458052,0.11157446090112444,0.5425800512991827,-0.24778666907224078,0.6068279869642768,-0.009129843764343781,-0.02559527951881483,-0.017962079428897087,-0.04025513970510007,-0.009129843764343781,-0.02559527951881483,-0.017962079428897087,-0.04025513970510007,0.010770688290010367,-0.026390826260063588,0.024000199743717636,-0.016355964344500623,0.0,0.0
0.38,334.9862144366735,997.3138446668105,-388.5226947932898,334.87079023185134,996.7663991540522,-388.27998344247214,0.11542420482214766,0.5474455127582587,-0.2427113508176717,0.6098591118559407,-0.0089142790291545,-0.026122233787380433,-0.017481685779647663,-0.040581091402527275,-0.0089142790291545,-0.026122233787380433,-0.017481685779647663,-0.040581091402527275,0.010778236759464033,-0.02634771342828017,0.024019682462471208,-0.01629758487136021,0.0,0.0
0.4,352.51097668345716,1006.0321902673275,-377.6242433459771,352.3917073941979,1005.4798952654978,-377.38661301061694,0.1192692892592504,0.5522950018296342,-0.23763033536016565,0.6129625671195487,-0.008698576750051777,-0.026648303367039397,-0.01700091127181187,-0.040905865741456555,-0.008698576750051777,-0.026648303367039397,-0.01700091127181187,-0.040905865741456555,0.010785113955136174,-0.026303478982948186,0.024038725391789702,-0.01623871694646402,0.0,0.0
