time,east,north,altitude,velocity,gamma,heading,desired_gamma,desired_heading,gamma_error,heading_error,roll_ref,pitch_ref,yaw_ref,roll,pitch,yaw,roll_error,pitch_error,yaw_error,gamma_rate_cmd,heading_rate_cmd,lateral_accel_cmd,mx_cmd,my_cmd,mz_cmd,mx_allocated,my_allocated,mz_allocated,allocation_residual_norm,left_elevon,right_elevon,rudder,body_flap,left_elevon_rate,right_elevon_rate,rudder_rate,body_flap_rate,qbar,load_factor
0.0,0.0,0.0,30000.0,1750.0,-0.017453292519943295,0.0,-0.01856739983002803,0.2629947316809195,-0.0011141073100847353,0.26299473168091936,0.2617993877991494,0.017336311252384398,0.017357652290940884,0.0,0.017453292519943295,0.0,-0.2617993877991496,0.00011698126755899096,-0.017357652290940884,-8.355804825635514e-05,0.014464710242450565,25.309387594783676,4800.0,-11.113220418104142,1562.1887061846796,3408.948361883959,-8.342661936170792,1460.5525353259297,1394.7624339386446,0.07417649320975901,-0.07417649320975901,0.05807306426182503,0.00304450629697949,0.0,0.0,0.0,0.0,29081.837883766693,2.7623960241683374
0.05,87.48585833742324,0.03163634383068054,29998.47274572046,1749.9678253857396,-0.017457470422356115,0.0007232355121224998,-0.018568171806515866,0.26341717265919184,-0.0011107013841597513,0.26269393714706935,0.2617993877991494,0.017332490972193703,0.01806103536382908,1.0502866088835106e-05,0.017453257262539858,5.2292611290027935e-06,-0.26178888493306074,0.00012076629034618591,-0.018055806102700078,-8.330260381198134e-05,0.014448166543088814,25.279973893189123,4800.0,-11.440807144982669,1619.960125936655,4798.842577347568,-11.435598331847352,1619.3734534970101,1.2976281746074987,0.10577457904797406,-0.10544121500731964,0.06083804325244298,0.003191062256031467,0.631961716764301,-0.6252944359512125,0.055299579812359,0.002931119181039544,29086.93775333301,2.7596103412331594
0.1,174.970056344297,0.1265076191502389,29996.94515457426,1749.9356604994655,-0.017461635552546713,0.0014456438392769222,-0.018568941759755257,0.26383979792048273,-0.0011073062072085443,0.26239415408120603,0.2617993877991494,0.01732868233558298,0.01876365800863633,8.391234057425478e-05,0.01745302806447443,3.781547482084591e-05,-0.2617154754585753,0.00012434572889130635,-0.018725842533815484,-8.304796554064083e-05,0.014431678474466332,25.250658741230744,4800.0,-11.694634088227147,1667.8449016175082,4798.846070245508,-11.689594093806534,1667.2305360012783,1.3072965961295624,0.10563903816078314,-0.10531647851786535,0.0631298813260961,0.0033118345561856137,-0.0027108177438184278,0.002494729789085659,0.045836761473062315,0.002415446003082933,29092.040182136443,2.7568344413911725
0.15000000000000002,262.4525489495851,0.28453920061748234,29995.417227681944,1749.9035053172297,-0.017465787950823746,0.002167227763000046,-0.01856970969080372,0.26426260966112397,-0.001103921739979974,0.26209538189812376,0.2617993877991494,0.01732488530636495,0.019465522968276083,0.0002828572112485439,0.017452440353118926,0.00011556780216448459,-0.26151653058790103,0.00012755504675387996,-0.0193499551661116,-8.279413049849804e-05,0.014415246004396807,25.22144207634735,4800.0,-11.875651107619376,1707.060560158745,4798.848930837302,-11.870764196066567,1706.423514798506,1.3156028618930355,0.10552755779269224,-0.10521479545331196,0.0650068637700838,0.003409675360949518,-0.0022296073618180423,0.002033661291067912,0.03753964887975414,0.0019568160952780893,29097.145165902308,2.7540683157275834
0.2,349.9332912394345,0.5056566785432809,29993.888966160495,1749.8713598151403,-0.01746992765734867,0.002887990063219714,-0.018570475600687017,0.26468561008707,-0.0011005479433383453,0.2617976200238501,0.2617993877991494,0.017321099848487394,0.020166632984794042,0.0006697202612695463,0.017451371601751076,0.0002491394041541639,-0.26112966753788003,0.00013027175326385532,-0.019917493580639878,-8.25410957503759e-05,0.014398869101311756,25.19232383706871,4800.0,-11.992698349130023,1738.499416372476,4798.851224203794,-11.987949661294898,1737.8441886753767,1.3225096275757622,0.10543768533823472,-0.10513376931679112,0.06651168871729032,0.0034869984701987986,-0.0017974490891503603,0.0016205227304166847,0.030096498944130468,0.0015464621849856086,29102.25270036897,2.7513119554285264
0.25,437.4122384563089,0.7897858589528695,29992.360371123334,1749.8392239693608,-0.01747405471213619,0.0036079335182854777,-0.01857123949039894,0.26510880141397547,-0.0010971847782627504,0.2615008678956898,0.2617993877991494,0.01731732592603281,0.02086699079940102,0.0013028720846728348,0.017449711579187274,0.0004449295385251517,-0.26049651571447674,0.0001323856531545431,-0.020422061260875868,-8.228885836970628e-05,0.014382547734262941,25.163303963019636,4800.0,-12.050247263422275,1762.6294105683096,4798.852984474459,-12.045622490682064,1761.9602273306782,1.3279579096801104,0.10536813169621326,-0.10507214624084071,0.0676667479437086,0.003545063177926032,-0.001391072840429275,0.0012324615190081878,0.02310118452836546,0.0011612941545446724,29107.362781287913,2.748565351781448
0.30000000000000004,524.889345998125,1.1368527636490708,29990.831443680345,1749.80709775611,-0.017478169155054676,0.004327060904998792,-0.01857200136090127,0.2655321858672744,-0.0010938322058465927,0.26120512496227555,0.2617993877991494,0.017313563503218023,0.021566599152508914,0.002222084161242588,0.017447334101132448,0.0007069077805090807,-0.259577303637907,0.00013377059791430668,-0.020859691371999833,-8.203741543849445e-05,0.014366281872925156,25.134382394924746,4800.0,-12.048466441778748,1779.7003031648565,4798.854229870018,-12.043952793891783,1779.0212467317563,1.3318885850970192,0.10531816934266816,-0.10502929587790218,0.06848399800698826,0.003584453526741918,-0.0009992470709019319,0.0008570072587707478,0.016345001265593295,0.0007878069763177144,29112.47540442356,2.745828496175553
0.35000000000000003,612.3645694173908,1.5467836302763147,29989.30218493789,1749.774981151662,-0.017482271025826602,0.005045374998644991,-0.018572761213123564,0.26595576568225876,-0.0010904901872969622,0.2609103906836139,0.2617993877991494,0.01730981254439381,0.02226546078376357,0.0034485631933827143,0.017444081019270145,0.0010376011191293166,-0.25835082460576686,0.00013426847487618687,-0.021227859664634252,-8.178676404727217e-05,0.014350071487598764,25.105559074612785,4800.0,-11.982801933324634,1789.8553015593764,4798.85497084691,-11.978390058204702,1789.1703714205353,1.3342565424838744,0.10528729836438318,-0.10500493835670631,0.06897030519317635,0.003605319675073934,-0.0006174195656996617,0.00048715042391733743,0.009726143723761682,0.00041732296664031936,29117.59056555334,2.7431013801022037
0.4,699.8378644203461,2.0195049123856097,29987.772595998806,1749.7428741323456,-0.017486360364028966,0.005762878573024821,-0.018573519047962804,0.26637954310415907,-0.001087158683933838,0.2606166645311343,0.2617993877991494,0.017306073014044573,0.022963578432079856,0.004993381820664222,0.01743975433265866,0.0014386280771860882,-0.25680600597848535,0.00013368131861390964,-0.021524950354893768,-8.153690129503784e-05,0.014333916549212386,25.07683394502119,4800.0,-11.84393957840426,1793.191418336392,4798.855214500735,-11.839625892122093,1792.5045578128882,1.3350392600834722,0.10527506924679078,-0.10499899332473457,0.06913033517087093,0.003607515925131621,-0.00024458235184793287,0.00011890063943476026,0.003200599553891681,4.3925001153742246e-05,29122.70826046757,2.740383995155352
0.45,787.3091868661054,2.5549432795004146,29986.242677962437,1749.710776674545,-0.01749043720909372,0.006479574400485522,-0.0185742748662834,0.2668035203882247,-0.0010838376571896818,0.26032394598773934,0.2617993877991494,0.017302344876787955,0.023660954835676318,0.006862179090629805,0.017434112709464357,0.0019109879206968827,-0.25493720870851977,0.00013176783267621062,-0.021749966914979435,-8.128782428922613e-05,0.014317817029325663,25.0482069502008,4800.0,-11.617896399261884,1789.7920192013796,4798.854966940588,-11.61368557559117,1789.1071233083785,1.3342416656780374,0.10528098930097135,-0.10501149658604504,0.06896811097049114,0.0035906795906985316,0.0001184010836113858,-0.0002500652262094061,-0.0032444840075956938,-0.00033672668866178805,29127.828484969396,2.7376763330319767
