time,theta,theta_ref,q,q_measured,moment,moment_cmd,moment_rate,eta,eta_dot,modal_energy,effectiveness,disturbance_moment,controller
0.0,-0.017453292519943295,0.0,0.0,0.0,0.0,1658.062789394613,0.0,0.0,0.0,0.0,1.0,0.0,rigid_rate_pd
0.01,-0.01745323483235084,0.0,1.7305762521015874e-05,9.811468496947005e-05,180.0,1657.789069754254,18000.0,5.991773076923077e-07,0.00017957538321878704,1.6135147559360818e-08,0.9999976032907693,0.0,rigid_rate_pd
0.02,-0.017452832105872805,0.0,6.880953340369759e-05,0.00038904624744117133,352.9497954883367,1656.9525022901591,17294.979548833668,4.770246960041525e-06,0.0007116371423054971,2.539418793482803e-07,0.9999809190121598,0.0,rigid_rate_pd
0.03,-0.017451754196651872,0.0,0.00015168494175446203,0.0008544494258743041,506.17382773796896,1655.5655320847338,15322.403224963227,1.5891125962170518e-05,0.0015616988535996491,1.2275325469662874e-06,0.9999364354961513,0.0,rigid_rate_pd
0.04,-0.017449706400029144,0.0,0.00026220092260975533,0.001470043919966684,641.2306268194864,1653.6579937023175,13505.67990815174,3.691112331217469e-05,0.002684095549682064,3.6457822526848603e-06,0.9998523555067513,0.0,rigid_rate_pd
0.05,-0.017446429187371805,0.0,0.0003970481026160221,0.0022132823255043505,760.1937261324704,1651.2565272097731,11896.309931298401,7.033751424300835e-05,0.004036076050862951,8.303270653291073e-06,0.999718649943028,0.0,rigid_rate_pd
0.06,-0.017441694224987696,0.0,0.0005532891463784,0.0030631857791886385,864.8961432797271,1648.3849696049658,10470.241714725671,0.00011826354923671152,0.005577548072911641,1.600208179931823e-05,0.9995269458030531,0.0,rigid_rate_pd
0.07,-0.017435300875294574,0.0,0.0007283153879186758,0.004000206234477821,956.9583119898796,1645.064694640245,9206.21687101525,0.00018239396064824415,0.007270868547909211,2.7497326540678203e-05,0.9992704241574071,0.0,rigid_rate_pd
0.08,-0.017427073104726798,0.0,0.0009198087313124872,0.005006111050690369,1037.8127718897247,1641.3149096137022,8085.44598998451,0.00026406856648225304,0.009080671820839737,4.346073100862417e-05,0.998943725734071,0.0,rigid_rate_pd
0.09,-0.017416856749123417,0.0,0.0011257081498585652,0.006063886889377861,1108.7259920318315,1637.152914843917,7091.322014210687,0.00036428432366907053,0.010973730532265103,6.445787908845669e-05,0.9985428627053237,0.0,rigid_rate_pd
0.1,-0.017404517093579302,0.0,0.0013441802044345632,0.007157660239415887,1170.817660584509,1632.5943307212979,6209.166855267745,0.0004837161339621375,0.01291884452218072,9.093567343830823e-05,0.9980651354641514,0.0,rigid_rate_pd
0.11,-0.017389936729135542,0.0,0.0015735930793647757,0.00827263218146723,1225.0777346074383,1627.6532965377223,5426.00740229293,0.0006227366613231314,0.014886753560227678,0.0001232173461608639,0.9975090533547075,0.0,rigid_rate_pd
0.12,-0.017373013653362128,0.0,0.0018124937004051662,0.009395025258700007,1272.3815097931551,1622.3426447131221,4730.377518571686,0.0007814353798608511,0.01685007012954409,0.00016150295177802168,0.9968742584805566,0.0,rigid_rate_pd
0.13,-0.01735365958594882,0.0,0.0020595875561812706,0.01051204054838821,1313.5029399431037,1616.6740535443282,4112.143014994854,0.0009596370355957681,0.018783228871570974,0.00020587374710369377,0.996161451857617,0.0,rigid_rate_pd
0.14,-0.017331798473957192,0.0,0.0023137208931118705,0.011611823232130626,1349.126409315741,1610.6581811826993,3562.3469372637373,0.0011569196731398106,0.020662449642263898,0.00025629923277267937,0.9953723213074408,0.0,rigid_rate_pd
0.15,-0.017307365164471657,0.0,0.0025738649957702114,0.012683435144192623,1379.8571374329615,1604.304783190369,3073.072811722045,0.0013726323494646277,0.02246571144093869,0.0003126459214112589,0.9945094706021415,0.0,rigid_rate_pd
