time,velocity,velocity_ref,altitude,altitude_ref,gamma,alpha,theta,pitch_rate,elevator,elevator_rate,delta_cmd,throttle_cmd,throttle_unsat,speed_error,speed_integral,saturation_active,qbar
2.2,1767.742180428432,2250.0,29951.158433877943,30000.0,-0.016587744831670918,0.03133550638437566,0.014747761552704753,-0.002338958454742417,-0.02540566443674766,-0.002328467398906609,-0.02559750248150132,0.62,1.1388081863103974,482.257819571568,1100.1493818106148,1.0,29876.495950866058
2.24,1768.0657411783627,2250.0,29949.980308629434,30000.0,-0.016733599085184635,0.03139379606719483,0.014660196982010203,-0.0020389581097195074,-0.02549895475080746,-0.002065092101466843,-0.025666473267203976,0.62,1.1400272339220308,481.9342588216373,1119.4267521634804,1.0,29892.324746608134
2.2800000000000002,1768.3893251856452,2250.0,29948.7916585249,30000.0,-0.016879295065885126,0.03146397078891399,0.014584675723028876,-0.0017368937596181967,-0.02558104283767857,-0.001806613251285127,-0.025724759466222165,0.62,1.141245151192557,481.61067481435475,1138.6911791560547,1.0,29908.20443135636
2.32,1768.712931373344,2250.0,29947.592491783078,30000.0,-0.017024810510972523,0.03154607736868899,0.014521266857716477,-0.0014334384711869254,-0.025652153211033535,-0.0015535621669755528,-0.025772633504339282,0.62,1.1424619394429176,481.28706862665604,1157.9426619011208,1.0,29924.135006992827
2.36,1769.0365586454423,2250.0,29946.382818206315,30000.0,-0.017170123121425258,0.031640135808833306,0.014470012687408058,-0.0011292579941801343,-0.025712532698327014,-0.0013064493766152799,-0.025810388070188733,0.62,1.1436776000225204,480.96344135455774,1177.181199555303,1.0,29940.11646830064
2.4,1769.3602058878025,2250.0,29945.162649182574,30000.0,-0.01731521061080902,0.03174613966459635,0.01443092905378734,-0.0008250093524241323,-0.02576244952396455,-0.001065763758125587,-0.02583833512388395,0.62,1.1448921343080574,480.6397941121975,1196.406791319791,1.0,29956.148802968677
2.44,1769.6838719691443,2250.0,29943.931997684012,30000.0,-0.017460050753323138,0.031864056468735524,0.014404005715412393,-0.0005213394753299269,-0.025802192357108653,-0.0008319717415811554,-0.025856804876224267,0.62,1.1461055437022947,480.3161280308557,1215.619436441025,1.0,29972.23199161126
2.48,1770.0075557420441,2250.0,29942.69087826219,30000.0,-0.01760462143098645,0.03199382820911502,0.014389206778128577,-0.00021888387239614833,-0.02583206932681092,-0.0006055165743881709,-0.025866144741242287,0.62,1.1473178296328297,479.99244425795587,1234.8191342113432,1.0,29988.36600780218
2.52,1770.3312560439658,2250.0,29941.43930703997,30000.0,-0.017748900679867986,0.03213537185746846,0.014386471177600477,8.1734646886346e-05,-0.02585240700719634,-0.00038681765016006784,-0.025866718264875674,0.62,1.1485289935508085,479.6687439560342,1254.0058839695846,1.0,30004.550818123862
2.56,1770.6549716983254,2250.0,29940.177301700158,30000.0,-0.01789286673527137,0.03228857994737227,0.014395713212100904,0.000379907205451886,-0.02586354937545631,-0.0001762699019165814,-0.02585890403257049,0.62,1.1497390369295917,479.3450283016746,1273.1796851016516,1.0,30020.78638223103
2.6,1770.9787015155957,2250.0,29938.90488147097,30000.0,-0.018036498075785355,0.03245332119939196,0.014416823123606613,0.0006750400412617802,-0.02586585674543176,2.5756739847840993e-05,-0.025843094558623284,0.62,1.150947961263366,479.02129848440427,1292.3405370410278,1.0,30037.072652929128
2.64,1771.302444294456,2250.0,29937.62206710844,30000.0,-0.018179773466116895,0.032629441191284726,0.014449667725167837,0.0009665556380945692,-0.025859704679584858,0.00021891782392428796,-0.02581969516007764,0.62,1.1521557680656944,478.6975557055439,1311.4884392692495,1.0,30053.409576267102
2.68,1771.6261988229915,2250.0,29936.32888087577,30000.0,-0.018322671998626867,0.032816763071068525,0.014494091072441663,0.00125389380267319,-0.02584548288216798,0.0004028947897831255,-0.025789122817989556,0.62,1.1533624588679974,478.37380117700854,1330.6233913163298,1.0,30069.79709164492
2.72,1771.9499638799425,2250.0,29935.02534651981,30000.0,-0.018465173133492815,0.03301508831070106,0.01454991517720825,0.001536512686424207,-0.0258235940764039,0.0005773953135267299,-0.025751805028859,0.62,1.1545680352179628,478.0500361200575,1349.745392761132,1.0,30086.235131934747
2.7600000000000002,1772.2737382360128,2250.0,29933.711489244688,30000.0,-0.018607256737427125,0.03322419749805069,0.014616940760623564,0.0018138897503129497,-0.025794452868488433,0.0007421535885513445,-0.02570817864901686,0.62,1.1557724986778797,477.72626176398717,1368.8544432316914,1.0,30102.72362361647
2.8000000000000003,1772.5975206552316,2250.0,29932.38733568274,30000.0,-0.018748903120883415,0.03344385116478655,0.014694948043903134,0.00208552267134868,-0.025758484601218455,0.00089693054114297,-0.02565868873472793,0.62,1.1569758508228927,477.4024793447684,1387.950542405482,1.0,30119.262486926596
2.84,1772.9213098963758,2250.0,29931.052913862823,30000.0,-0.018890093073688233,0.03367379064776631,0.014783697574078077,0.002350930189505465,-0.0257161242000332,0.0010415139814318056,-0.025603787380746822,0.62,1.1581780932391776,477.07869010362424,1407.033690009627,1.0,30135.85163602055
2.88,1773.2451047144507,2250.0,29929.70825317613,30000.0,-0.019030807899039662,0.03391373898145721,0.01488293108241755,0.002609652893956862,-0.025667815014235852,0.0011757186902350302,-0.025543932560027377,0.62,1.1593792275220325,476.7548952855493,1426.103885821049,1.0,30152.490979147697
2.92,1773.5689038622295,2250.0,29928.35338433962,30000.0,-0.019171029445818954,0.034163401818889695,0.01499237237307074,0.0028612539476755364,-0.025614007656135543,0.0012993864424735164,-0.025479586967245248,0.62,1.1605792552738907,476.4310961377705,1445.1611296665599,1.0,30169.180418838856
2.96,1773.8927060918509,2250.0,29926.98833935719,30000.0,-0.01931074013916589,0.0344224683786125,0.015111728239446613,0.003105319749602115,-0.025555158840816366,0.0014123859679983617,-0.02541121686875194,0.62,1.1617781781022514,476.10729390814913,1464.2054214228858,1.0,30185.919852105795
3.0,1774.2165101564713,2250.0,29925.613151478672,30000.0,-0.019449923009273236,0.03469061241509415,0.015240689405820917,0.0033414605337406212,-0.025491730229201866,0.0015146128507535564,-0.025339290961524683,0.62,1.1629759976175325,475.78348984352874,1483.236761016627,1.0,30202.709170652302
3.04,1774.5403148119703,2250.0,29924.227855156856,30000.0,-0.019588561718360344,0.034967493209997556,0.015378931491637212,0.003569310904690415,-0.025424187277039306,0.0016059893673599098,-0.025264279243617963,0.62,1.1641727154308519,475.45968518802965,1502.2551484241483,1.0,30219.548261095508
3.08,1774.8641188187064,2250.0,29922.832486002597,30000.0,-0.01972664058579064,0.03525275658174284,0.015526115995952198,0.0037885303092762847,-0.025352998092377423,0.0016864642663589001,-0.02518665189856891,0.62,1.1653683331517342,475.1358811812936,1521.2605836714001,1.0,30236.43700519824
3.12,1775.1879209433164,2250.0,29921.42708073816,30000.0,-0.019864144611302485,0.035546035910767534,0.01568189129946505,0.0039988034440889145,-0.025278632304056907,0.0017560124893998726,-0.025106878196136,0.62,1.1665628523857576,474.8120790566836,1540.2530668336674,1.0,30253.37528011038
3.16,1775.511719960556,2250.0,29920.011677148967,30000.0,-0.02000105949632767,0.035846953177893645,0.015845893681565974,0.004199840598897042,-0.025201559943672906,0.0018146348358321638,-0.02502542541168197,0.62,1.1677562747321386,474.4882800394439,1559.2325980352452,1.0,30270.36295861926
3.2,1775.8355146551748,2250.0,29918.586314033797,30000.0,-0.02013737166337646,0.03615512001321703,0.01601774834984057,0.004391377936039923,-0.025122250343403495,0.0018623575722642835,-0.024942757766440823,0.62,1.1689486017812685,474.16448534482515,1578.1991774490382,1.0,30287.39990940841
3.24,1776.1593038238188,2250.0,29917.1510311537,30000.0,-0.020273068273472857,0.03647013875294674,0.016197070479473885,0.00457317770605389,-0.025041171052029035,0.0018992319887166848,-0.02485933539082135,0.62,1.1701398351122037,473.84069617618115,1597.1528052960855,1.0,30304.485997323565
3.2800000000000002,1776.4830862769545,2250.0,29915.705869179634,30000.0,-0.020408137241628536,0.03679160350163953,0.016383466260010995,0.004745028399929591,-0.024958786771392703,0.0019253339031759197,-0.02477561331282606,0.62,1.1713299762901266,473.5169137230455,1616.0934818450073,1.0,30321.621083645252
3.3200000000000003,1776.8068608408066,2250.0,29914.25086963907,30000.0,-0.020542567250348365,0.03711910119729805,0.01657653394694969,0.004906744838536503,-0.02487555831547447,0.0019407631163672685,-0.024692040473570244,0.62,1.1725190268637768,473.1931391591934,1635.0212074113751,1.0,30338.80502636738
3.36,1777.1306263593024,2250.0,29912.786074861615,30000.0,-0.020676347761165222,0.03745221267683023,0.01677586491566501,0.005058168199888426,-0.02479194159416858,0.0019456428187163948,-0.02460905877180051,0.62,1.173706988362874,472.86937364069763,1653.935982357003,1.0,30356.037680480673
3.4,1777.4543816960122,2250.0,29911.311527923863,30000.0,-0.020809469024206297,0.037790513739401316,0.016981044715195022,0.00519916598505744,-0.024708386623768668,0.0019401189515177773,-0.02452710213921694,0.62,1.1748938622955294,472.5456183039878,1672.8378070891624,1.0,30373.31889826048
3.44,1777.7781257360803,2250.0,29909.827272593568,30000.0,-0.02094192208579753,0.03813357620524966,0.017191654119452133,0.005329631923674057,-0.02462533656607532,0.0019243595244191002,-0.02444659564830431,0.62,1.1760796501456743,472.22187426391974,1691.7266820597192,1.0,30390.648529557748
3.48,1778.101857388134,2250.0,29908.333353273298,30000.0,-0.02107369879411732,0.03848096896758165,0.017407270173464332,0.005449485820077834,-0.024543226797947702,0.0018985538914315684,-0.024367954654284447,0.62,1.177264353370502,471.898142611866,1710.6026077641939,1.0,30408.02642209238
3.52,1778.4255755861661,2250.0,29906.829814943707,30000.0,-0.02120479180291491,0.03883225903521062,0.01762746723229571,0.005558673341305078,-0.02446248401302538,0.0018629119876859802,-0.024291583972694063,0.62,1.1784479733979405,471.57442441383387,1729.4655847407473,1.0,30425.452421748254
3.56,1778.7492792913765,2250.0,29905.31670310655,30000.0,-0.021335194573313145,0.03918701256365866,0.017851817990345516,0.005657165748218525,-0.024383525357247943,0.0018176635292733558,-0.02421787709399407,0.62,1.179630511624174,471.2507207086235,1748.3156135690922,1.0,30442.926372868995
3.6,1779.072967493967,2250.0,29903.794063727575,30000.0,-0.0214649013737194,0.039544795872498845,0.01807989449877944,0.0057449595711975355,-0.0243067575996992,0.0017630571785193152,-0.02414721543650802,0.62,1.1808119694112156,470.9270325060329,1767.1526948693336,1.0,30460.44811855339
3.64,1779.396639214881,2250.0,29902.26194317946,30000.0,-0.021593907277872516,0.0399051764467783,0.018311269168905783,0.005822076231916385,-0.024232576340199628,0.0016993596771131055,-0.02407996763887813,0.62,1.181992348084548,470.6033607851191,1785.9768293007382,1.0,30478.017500949743
3.68,1779.7202935074733,2250.0,29900.72038818487,30000.0,-0.02172220816105748,0.04026772392042986,0.018545515759372376,0.005888561612842368,-0.024161365254965084,0.001626854949578526,-0.024016488893125045,0.62,1.1831716489308473,470.27970649252666,1804.7880175604394,1.0,30495.634361548553
3.72,1780.0439294591104,2250.0,29899.169445759817,30000.0,-0.021849800694523427,0.04063201103965076,0.01878221034512732,0.005944485576184468,-0.02409349538154327,0.00154584317954838,-0.023957120319281423,0.62,1.1843498731957938,469.95607054088964,1823.586260382075,1.0,30513.298541471984
3.7600000000000002,1780.367546192681,2250.0,29897.60916315742,30000.0,-0.02197668233814411,0.04099761460430196,0.019020932266157836,0.005989941434117227,-0.02402932444413137,0.0014566398613924643,-0.02390218838246233,0.62,1.1855270220819911,469.63245380731905,1842.3715585343678,1.0,30531.00988176011
3.8000000000000003,1780.6911428680198,2250.0,29896.03958781219,30000.0,-0.022102851331363572,0.04136411638545977,0.019261265054096182,0.006025045372192849,-0.02396919622026854,0.0013595748297487431,-0.023852004353124075,0.62,1.1867030967469954,469.3088571319802,1861.1439128196469,1.0,30548.7682236524
3.84,1781.0147186832285,2250.0,29894.460767284967,30000.0,-0.02222830668247309,0.04173110401733297,0.01950279733485987,0.006049935827937562,-0.023913439949786824,0.001254991269522943,-0.023806863811151303,0.62,1.1878780983014727,468.98528131677153,1879.9033240723177,1.0,30566.573408864147
3.88,1781.3382728758893,2250.0,29892.87274920864,30000.0,-0.022353048156268707,0.0420981718618435,0.019745123705574786,0.00606477282670548,-0.02386236978679326,0.0011432447089392704,-0.0237670461943002,0.62,1.189052027807491,468.6617271241107,1898.6497931572821,1.0,30584.425279856812
3.92,1781.6618047241652,2250.0,29891.27558123474,30000.0,-0.022477076260141664,0.042464921844255855,0.019987845584114178,0.006069737276934767,-0.02381628429534457,0.0010247019982387816,-0.023732814391414798,0.62,1.1902248862769542,468.3381952758348,1917.3833209683155,1.0,30602.323680101632
3.96,1781.985313547778,2250.0,29889.669310981022,30000.0,-0.022600392228657097,0.04283096425833074,0.02023057202967363,0.006065030227016532,-0.02377546598936408,0.0008997402766166691,-0.023704414380725052,0.62,1.1913966746701952,468.0146864522219,1936.1039084264044,1.0,30620.268454335695
4.0,1782.30879870886,2250.0,29888.053985980183,30000.0,-0.022722998006678884,0.04319591853957065,0.020472920532891757,0.006050872086046588,-0.02374018091724008,0.0007687459299587264,-0.02368207491341986,0.62,1.1925673938947263,467.69120129114003,1954.8115564780499,1.0,30638.259448809928
4.04,1782.6322596126722,2250.0,29886.429653629737,30000.0,-0.0228448962311013,0.04355941400521955,0.02071451777411824,0.006027501810783925,-0.023710678291433328,0.0006321135419805257,-0.02366600724258694,0.62,1.1937370448041602,467.3677403873278,1973.506266093543,1.0,30656.29651152825
