time,velocity,velocity_ref,altitude,altitude_ref,gamma,alpha,theta,pitch_rate,elevator,elevator_rate,delta_cmd,throttle_cmd,qbar
21.900000000000002,2188.0343665858054,1820.08,28763.59913323104,29436.85714285714,-0.029322299385791565,0.07499597054315063,0.045673671157358944,0.0009089177915706043,-0.041958280792336024,-8.87911834658244e-06,-0.04195946460144348,0.3624319433899362,53979.90247658673
21.92,2188.317655549925,1820.144,28762.31645850071,29436.342857142856,-0.029304534040373628,0.07499636859158429,0.045691834551210536,0.000907421432949626,-0.04195849839192461,-1.2161118558969255e-05,-0.041959929355094724,0.3622784411150526,54003.500969658206
21.94,2188.6007771605337,1820.208,28761.0343957711,29435.82857142857,-0.02928673349378686,0.07499670151765775,0.045709968023870756,0.0009059262469875702,-0.04195878167402739,-1.5349377064568833e-05,-0.04196045207390776,0.3621250559876265,54027.09511370564
21.96,2188.8837315327055,1820.272,28759.752946880002,29435.314285714285,-0.02926889784613176,0.07499696947976796,0.04572807163363607,0.0009044357074687347,-0.041959128711626326,-1.8442055082153022e-05,-0.04196103070474391,0.3619717879271061,54050.68488958013
21.98,2189.1665187814583,1820.336,28758.472113661184,29434.8,-0.029251027197110785,0.07499717270472885,0.045746145507617936,0.0009029532216710954,-0.041959537541860534,-2.143745111371584e-05,-0.04196166316946782,0.3618186368529792,54074.27027814294
22.0,2189.4491390217427,1820.4,28757.191897944413,29434.285714285714,-0.029233121645939754,0.07499731148632637,0.04576418984038649,0.0009014821277651098,-0.04196000616881311,-2.433400050905817e-05,-0.04196234736767834,0.3616656026847802,54097.85126026484
22.02,2189.7315923684296,1820.464,28755.912301555476,29433.77142857143,-0.02921518129126135,0.07499738618382486,0.045782204892563384,0.0009000256923314782,-0.04196053256628738,-2.713027488435941e-05,-0.04196308117941819,0.36151268534209924,54121.42781682537
22.04,2190.013878936301,1820.528,28754.633326316198,29433.257142857143,-0.02919720623106074,0.07499739722042702,0.04580019098936615,0.0008985871079986707,-0.041961114680569796,-2.9824981400521384e-05,-0.0419638624678593,0.3613598847445894,54144.999928712474
22.06,2190.2959988400394,1820.592,28753.35497404448,29432.742857142857,-0.029179196562583377,0.07499734508169006,0.04581814851910656,0.0008971694912008965,-0.041961750433176556,-3.241696190314619e-05,-0.04196468908196133,0.3612072008119725,54168.567576821515
22.080000000000002,2190.577952194217,1820.656,28752.077246554316,29432.22857142857,-0.029161152382255077,0.07499723031390051,0.04583607793164531,0.0008957758800570327,-0.04196243772358123,-3.490519192669362e-05,-0.04196555885910104,0.3610546334640482,54192.13074205492
