time,controller,downrange,altitude,velocity,gamma,gamma_rate_cmd,qbar,heat_rate,heat_load,load_factor,corridor_lower,corridor_upper,corridor_margin
0.0,1.0,0.0,54000.0,3150.0,-0.09773843811168245,-0.0005759586531581288,3361.387543460027,82984.23033616332,8298.423033616333,0.8102233713432945,37297.0,60950.5,6950.5
0.1,1.0,313.49882614332637,53969.252056369885,3150.061891370273,-0.09779603397699826,-0.0005727908805657591,3375.9058609068156,83166.51569585761,16615.074603202094,0.8112316565017074,37298.220523869466,60950.54083987719,6981.288783507305
0.2,1.0,627.0020407567054,53938.48550216327,3150.12369262628,-0.09785331306505483,-0.0005696405307226477,3390.495452210882,83349.30193953539,24950.004797155634,0.8122344179343579,37299.43932262933,60950.58160347364,7012.096101310373
0.30000000000000004,1.0,940.5096434423415,53907.70043669921,3150.1854027418835,-0.0979102771181271,-0.0005665075078036734,3405.1566501064176,83532.58995186978,33303.263792342615,0.8132316859500188,37300.656375814346,60950.62229018645,7042.921853487242
0.4,1.0,1254.021633664355,53876.89695876787,3150.2470206892963,-0.09796692786890747,-0.0005633917165107529,3419.8897889196273,83716.3806199067,41674.901854333286,0.8142234906905637,37301.87166292362,60950.66289941265,7073.765940644778
0.5,1.0,1567.538010748693,53846.07516663349,3150.308545439056,-0.09802326704055854,-0.0005602930620699439,3434.695204575559,83900.67483305724,50064.96933763901,0.8152098621318913,37303.085163420146,60950.70343054915,7104.628263915656
0.6000000000000001,1.0,1881.0587738830372,53815.235158037365,3150.3699759600017,-0.09807929634676553,-0.0005572114502285596,3449.573234604925,84085.47348308969,58473.51668594798,0.8161908300848473,37304.29685673027,60950.743882992734,7135.508724955369
0.7000000000000001,1.0,2194.5839221167103,53784.37703020083,3150.4313112192463,-0.09813501749178838,-0.0005541467872523028,3464.5242181509893,84270.77746412171,66900.59443236014,0.8171664241961393,37305.50672224323,60950.78425614009,7166.407225939263
0.8,1.0,2508.113454360581,53753.50087982818,3150.4925501821517,-0.09819043217051361,-0.000551098979922415,3479.548495976464,84456.58767261247,75346.2531996214,0.818136673949246,37306.71473931067,60950.82454938772,7197.323669559541
0.9,1.0,2821.6473693869684,53722.606803109615,3150.553691812304,-0.09824554206850586,-0.0005480679355328414,3494.6464104704414,84642.90500735487,83810.54370035688,0.8191016086653236,37307.920887246066,60950.86476213195,7228.257959022332
1.0,1.0,3135.1856658295433,53691.694895724155,3150.614735071487,-0.09830034886205914,-0.0005450535618874108,3509.8183056553644,84829.73036946758,92293.51673730364,0.8200612575041035,37309.12514532433,60950.90489376892,7259.209998044767
1.1,1.0,3448.7283421832267,53660.765252842524,3150.6756789196575,-0.09835485421824788,-0.00054205576729703,3525.064527193997,85017.0646623871,100795.22320354235,0.8210156494647901,37310.32749278126,60950.944943694565,7290.179690852041
1.2000000000000002,1.0,3762.27539680409,53629.817969130054,3150.73652231492,-0.09840905979497759,-0.0005390744605768961,3540.385422396463,85204.9087918598,109315.71408272833,0.8219648133869482,37311.52790881304,60950.984911304586,7321.166942174532
1.3,1.0,4075.8268279092517,53598.85313874954,3150.7972642134996,-0.09846296724103527,-0.0005361095510437236,3555.7813402272736,85393.26366593393,117855.04044932172,0.8229087779513884,37312.72637257575,60951.02479599441,7352.171657244871
1.4000000000000001,1.0,4389.38263357677,53567.87085536408,3150.857903569718,-0.09851657819613964,-0.0005331609485129835,3571.252631312439,85582.13019495185,126413.25346881691,0.8238475716810479,37313.922863184875,60951.06459715924,7383.193741795156
1.5,1.0,4702.942811745537,53536.87121213996,3150.918439335967,-0.09856989429099094,-0.0005302285632961617,3586.7996479465396,85771.50929154169,134990.40439797108,0.8247812229418644,37315.1173597148,60951.104314193944,7414.233102053986
1.6,1.0,5016.507360215171,53505.8543017494,3150.9788704626835,-0.09862291714732056,-0.0005273123061980327,3602.4227440998893,85961.40187060952,143586.54458503204,0.8257097599436459,37316.30984119832,60951.14394649313,7445.289644743731
1.7000000000000002,1.0,5330.076276645902,53474.82021637343,3151.039195898323,-0.09867564837794036,-0.0005244120885139436,3618.1222754256987,86151.8088493313,152201.72546996517,0.8266332107409367,37317.50028662611,60951.18349345104,7476.363277077609
1.8,1.0,5643.649558558465,53443.76904770465,3151.0994145893355,-0.09872808958679176,-0.0005215278220271169,3633.898599267264,86342.73114714464,160835.99858467962,0.8275516032338768,37318.68867494629,60951.2229544616,7507.453906756949
1.9000000000000001,1.0,5957.227203333981,53412.700886949984,3151.1595254801377,-0.09878024236899446,-0.0005186594190059681,3649.7520746652053,86534.16968574081,169489.4155532537,0.8284649651690581,37319.87498506382,60951.26232891835,7538.5614419683625
2.0,1.0,6270.809208213843,53381.61582483348,3151.2195275130885,-0.09883210831089506,-0.0005158067922014353,3665.683062364724,86726.12538905663,178162.02809215937,0.8293733241403745,37321.05919584012,60951.301616214456,7569.685791380973
2.1,1.0,6584.395570299595,53350.51395159905,3151.2794196284635,-0.09888368899011521,-0.0005129698548443271,3681.691924822879,86918.59918326608,186853.88801048597,0.8302767075898676,37322.24128609248,60951.3408157427,7600.826864143644
2.2,1.0,6897.986286552817,53319.39535701317,3151.339200764429,-0.09893498597559965,-0.0005101485206426831,3697.7790262159215,87111.5919967724,195565.0472101632,0.8311751428085682,37323.42123459361,60951.37992689541,7631.984569882239
2.3000000000000003,1.0,7211.581353794995,53288.26013036763,3151.398869857015,-0.09898600082766391,-0.0005073427037791484,3713.944732446624,87305.10476019954,204295.55768618317,0.8320686569373322,37324.5990200711,60951.4189490645,7663.158818696873
2.4000000000000004,1.0,7525.180768707407,53257.108360482205,3151.458425840092,-0.09903673509804183,-0.0005045523189083633,3730.1894111516754,87499.13840638415,213045.47152682158,0.8329572769676729,37325.77462120694,60951.457881641414,7694.349521159209
2.5,1.0,7838.784527830989,53225.94013570738,3151.5178676453415,-0.09908719032993266,-0.0005017772811543676,3746.5134317090788,87693.6938703671,221814.8409138583,0.8338410297425877,37326.94801663702,60951.49672401711,7725.55658830973
2.6,1.0,8152.39262756621,53194.75554392699,3151.5771942022343,-0.0991373680580481,-0.0004990175061080183,3762.9171652455957,87888.77208938525,230603.71812279682,0.8347199419573805,37328.11918495061,60951.53547558206,7756.779931655066
2.7,1.0,8466.005064172943,53163.5546725609,3151.636404438001,-0.0991872698086589,-0.0004962729098244242,3779.400984644213,88084.37400286309,239412.15552308314,0.8355940401604791,37329.28810468988,60951.574135726216,7788.019463165314
2.8000000000000003,1.0,8779.621833770332,53132.33760856762,3151.695497277608,-0.09923689709964134,-0.0004935434088203899,3795.9652645516376,88280.50055240413,248240.20557832357,0.8364633507542492,37330.45475434935,60951.61270383898,7819.275095271361
2.9000000000000004,1.0,9093.242932336656,53101.104438446964,3151.754471643731,-0.09928625144052337,-0.0004908289200718781,3812.6103813858394,88477.15268178291,257087.92084650186,0.8373278999958018,37331.61911237547,60951.651179309214,7850.54674086225
3.0,1.0,9406.868355709195,53069.85524824265,3151.8133264567296,-0.09933533433253056,-0.00048812936101148304,3829.3367133435922,88674.331336936,265955.3539801955,0.8381877139977988,37332.78115716601,60951.6895615252,7881.834313282547
3.1,1.0,9720.498099584092,53038.59012354491,3151.8720606346196,-0.0993841472686317,-0.0004854446495259198,3846.14464040808,88872.03746595372,274842.55772679084,0.839042818729252,37333.94086706963,60951.72784987461,7913.137726329696
3.2,1.0,10034.132159516214,53007.30914949307,3151.930673093049,-0.0994326917335843,-0.00048277470395352746,3863.0345443565125,89070.27201907174,283749.584928698,0.839893240016317,37335.09822038535,60951.76604374451,7944.456894251438
3.3000000000000003,1.0,10347.770530919004,52976.01241077812,3151.9891627452703,-0.09948096920397964,-0.0004801194430817834,3880.006808767779,89269.03594866223,292676.48852356424,0.8407390035430861,37336.253195362035,60951.80414252134,7975.791731743215
3.4000000000000004,1.0,10661.413209064343,52944.69999164529,3152.0475285021157,-0.09952898114828782,-0.00047747878614483384,3897.0618190301248,89468.33020922531,301623.3215444868,0.8415801348523724,37337.405770197896,60951.84214559087,8007.142153945577
3.5,1.0,10975.0601890824,52913.371975896574,3152.10576927197,-0.0995767290269023,-0.00047485265282103703,3914.199962348871,89668.15575738046,310590.1371202248,0.8424166593464931,37338.555923039996,60951.8800523382,8038.508076441627
3.6,1.0,11288.711465961484,52882.02844689327,3152.163883960745,-0.0996242142921844,-0.0004722409632305214,3931.4216277541623,89868.51355185772,319576.9884754106,0.8432486022880461,37339.7036319837,60951.91786214774,8069.889415254467
3.7,1.0,11602.36703454789,52850.669487558516,3152.221871471852,-0.09967143838850745,-0.00046964363793275393,3948.727206108731,90069.40455348894,328583.9289307595,0.8440759888006836,37340.84887507222,60951.95557440318,8101.286086844666
3.8000000000000003,1.0,11916.02688954575,52819.29518037977,3152.2797307061774,-0.09971840275230072,-0.0004670605979241241,3966.117090115704,90270.82972519894,337611.0119032794,0.8448988438698805,37341.99163029605,60951.993188487475,8132.698008107705
3.9000000000000004,1.0,12229.691025516879,52787.9056074113,3152.337460562055,-0.09976510881209313,-0.0004644917646355413,3983.591674326458,90472.79003199682,346658.29090647906,0.8457171923436992,37343.1318755925,60952.030703782824,8164.125096371521
4.0,1.0,12543.359436880608,52756.50085027671,3152.395059935241,-0.09981155798855669,-0.0004619370599300457,4001.1513551484495,90675.28644096672,355725.81955057575,0.8465310589335493,37344.269588845185,60952.06811967065,8195.567269393941
4.1000000000000005,1.0,12857.032117913634,52725.08099017132,3152.452527718886,-0.09985775169454969,-0.00045939640610043067,4018.7965308531534,90878.3199212593,364813.6515427017,0.8473404682149441,37345.40474788347,60952.1054355316,8227.024445360279
4.2,1.0,13170.709062749853,52693.646107864704,3152.5098628035093,-0.09990369133515974,-0.00045686972586687815,4036.5276015839754,91081.89144408255,373921.84068711,0.8481454446282518,37346.537330481995,60952.142650745474,8258.49654288077
4.3,1.0,13484.390265380196,52662.19628370307,3152.5670640769736,-0.09994937830774642,-0.0004543569423746107,4054.344969364207,91286.00198269269,383050.4408853792,0.8489460124794432,37347.66731436015,60952.17976469126,8289.983480988187
4.4,1.0,13798.075719652465,52630.731597611724,3152.6241304244563,-0.09999481400198387,-0.00045185797919155066,4072.249038105022,91490.65251238515,392199.50613661774,0.8497421959408353,37348.79467718158,60952.216776747075,8321.48517913535
4.5,1.0,14111.76541927116,52599.25212909744,3152.6810607284247,-0.10003999979990302,-0.0004493727603059974,4090.2402136135042,91695.8440104854,401369.0905376663,0.85053401905183,37349.91939655361,60952.253686290176,8353.001557192736
4.6000000000000005,1.0,14425.459357797308,52567.7579572509,3152.737853868609,-0.10008493707593362,-0.0004469012101243146,4108.318903600705,91901.57745633998,410559.24828330026,0.851321505719649,37351.041450026845,60952.290492696906,8384.532535446007
