time,velocity,velocity_ref,altitude,altitude_ref,gamma,alpha,theta,pitch_rate,elevator,elevator_rate,delta_cmd,throttle_cmd,qbar
35.62,2343.227477905235,1830.0,28117.198166413826,29100.0,-0.010283367568254926,0.07462317167258181,0.06433980410432671,0.0017785483278269913,-0.0418175240124213,1.0565776779452424e-05,-0.04181668679001444,0.2607407654663355,67724.0267098372
35.64,2343.400468434364,1830.0,28116.71707271023,29100.0,-0.010247474093256458,0.07462285817530216,0.06437538408204553,0.0017794492152883564,-0.041817309341203125,1.054920346201561e-05,-0.04181647344946237,0.26061967209594517,67738.55267526774
35.660000000000004,2343.5733268501745,1830.0,28116.237626141432,29100.0,-0.010211563230520292,0.07462254529172015,0.06441098206119968,0.0017803484711348212,-0.04181709500806361,1.0532536642140329e-05,-0.04181626045397065,0.2604986712048779,67753.05787928976
35.68,2343.7460532543537,1830.0,28115.75982779753,29100.0,-0.010175635011467605,0.07462223302061506,0.06444659800914727,0.001781246094425798,-0.04181688101486941,1.051577939951706e-05,-0.04181604780515518,0.2603777627219524,67767.54230465248
35.7,2343.9186477485478,1830.0,28115.283678767035,29100.0,-0.010139689467542885,0.07462192136077181,0.06448223189322874,0.0017821420843307004,-0.04181666736342407,1.0498934855102213e-05,-0.04181583550456642,0.26025694657601656,67782.0059341309
35.72,2344.0911104343613,1830.0,28114.809180136843,29100.0,-0.010103726630213885,0.07462161031098301,0.06451788368076894,0.0017830364401261226,-0.04181645405546728,1.048200616471046e-05,-0.041815623553688855,0.26013622269594705,67796.4487505259
35.74,2344.2634414133577,1830.0,28114.336332992254,29100.0,-0.01006774653097156,0.07462129987005106,0.06455355333907932,0.001783929161192936,-0.04181624109267422,1.046499651441963e-05,-0.04181541195394086,0.26001559101064964,67810.87073666415
35.76,2344.4356407870573,1830.0,28113.865138416968,29100.0,-0.010031749201330016,0.07462099003679017,0.06458924083545997,0.0017848202470133073,-0.041816028476655,1.044790911517851e-05,-0.04181520070667446,0.2598950514490599,67825.27187539819
35.78,2344.6077086569403,1830.0,28113.39559749307,29100.0,-0.00999573467282644,0.07462068081002822,0.0646249461372016,0.0017857096971676438,-0.04181581620895419,1.0430747197975544e-05,-0.04181498981317533,0.2597746039401418,67839.65214960666
35.800000000000004,2344.779645124445,1830.0,28112.927711301043,29100.0,-0.009959702977021038,0.07462037218860872,0.0646606692115875,0.0017865975113314722,-0.04181560429105052,1.041351400843564e-05,-0.041814779274662775,0.2596542484128886,67854.01154219414
35.82,2344.951450290967,1830.0,28112.461480919763,29100.0,-0.009923654145496967,0.07462006417139254,0.06469641002589539,0.001787483689272259,-0.04181539272435659,1.0396212802464748e-05,-0.0418145690922899,0.25953398479632317,67868.3500360913
35.84,2345.123124257862,1830.0,28111.99690742649,29100.0,-0.009887588209860267,0.07461975675725967,0.06473216854739923,0.001788368230846174,-0.04181518151021872,1.0378846841150424e-05,-0.04181435926714382,0.2594138130194966,67882.66761425516
35.86,2345.294667126443,1830.0,28111.533991896882,29100.0,-0.009851505201739785,0.0746194499451109,0.06476794474337094,0.0017892511359948087,-0.041814970649916926,1.0361419386025072e-05,-0.04181414980024596,0.25929373301148984,67896.96425966879
35.88,2345.4660789979816,1830.0,28111.07273540497,29100.0,-0.009815405152787102,0.07461914373386941,0.06480373858108214,0.0017901324047418473,-0.04181476014466494,1.0343933694507634e-05,-0.041813940692552426,0.25917374470141286,67911.23995534156
35.9,2345.637359973708,1830.0,28110.613139023186,29100.0,-0.009779288094676453,0.07461883812248231,0.0648395500278057,0.001791012037189704,-0.041814549995610344,1.0326393015538771e-05,-0.04181373194495449,0.25905384801840436,67925.49468430926
35.92,2345.808510154811,1830.0,28110.15520382233,29100.0,-0.009743154059104654,0.07461853310992209,0.06487537905081728,0.0017918900335161263,-0.04181434020383481,1.0308800585184928e-05,-0.04181352355827915,0.2589340428916324,67939.72842963417
35.94,2345.979529642437,1830.0,28109.6989308716,29100.0,-0.009707003077791012,0.074618228695188,0.06491122561739683,0.0017927663939707739,-0.04181413077035439,1.0291159622415134e-05,-0.04181331553328978,0.25881432925029424,67953.94117440483
35.96,2346.150418537691,1830.0,28109.244321238562,29100.0,-0.00967083518247725,0.07461792487730741,0.06494708969483,0.001793641118871776,-0.041813921696119916,1.0273473324816847e-05,-0.04181310787068677,0.2586947070236162,67968.13290173646
35.980000000000004,2346.321176941638,1830.0,28108.79137598917,29100.0,-0.009634650404927413,0.07461762165533702,0.06498297125040944,0.0017945142086022725,-0.041813712982017484,1.0255744864762942e-05,-0.041812900571108334,0.2585751761408534,67982.30359477091
36.0,2346.491804955299,1830.0,28108.340096187752,29100.0,-0.009598448776927787,0.07461731902836403,0.06501887025143609,0.0017953856636069461,-0.041813504628869,1.0237977385692353e-05,-0.04181269363513146,0.2584557365312908,67996.45323667667
36.02,2346.662302679655,1830.0,28107.890482897015,29100.0,-0.009562230330286811,0.07461701699550734,0.06505478666522035,0.0017962554843885487,-0.04181329663743283,1.0220173997526296e-05,-0.04181248706327261,0.2583363881242414,68010.58181064889
36.04,2346.832670215645,1830.0,28107.442537178038,29100.0,-0.009525995096834985,0.07461671555591844,0.06509072045908328,0.001797123671504427,-0.041813089008404504,1.0202337774265683e-05,-0.041812280855988905,0.25821713084904846,68024.6892999095
