time,east,north,altitude,velocity,gamma,heading,target_east,target_north,target_altitude,horizontal_range,range_to_target,altitude_error,gamma_rate_cmd,heading_rate_cmd,throttle_cmd,qbar,load_factor
0.0,0.0,0.0,30000.0,1750.0,-0.017453292519943295,0.0,52000.0,14000.0,29000.0,53851.648071345044,53860.93203798093,-1000.0,-8.355804825635514e-05,0.014464710242450565,0.205,29081.837883766693,2.7623960241683374
0.05,87.48585833742324,0.03163634383068054,29998.47274572046,1749.9678253857396,-0.017457470422356115,0.0007232355121224998,52000.0,14000.0,29000.0,53767.166920823445,53776.43709391351,-998.4727457204608,-8.330260381198134e-05,0.014448166543088814,0.20508043653565097,29086.93775333301,2.7596103412331594
0.1,174.970056344297,0.1265076191502389,29996.94515457426,1749.9356604994655,-0.017461635552546713,0.0014456438392769222,52000.0,14000.0,29000.0,53682.68050743627,53691.93688166508,-996.9451545742595,-8.304796554064083e-05,0.014431678474466332,0.20516084875133628,29092.040182136443,2.7568344413911725
0.15000000000000002,262.4525489495851,0.28453920061748234,29995.417227681944,1749.9035053172297,-0.017465787950823746,0.002167227763000046,52000.0,14000.0,29000.0,53598.188861500144,53607.431431567435,-995.4172276819445,-8.279413049849804e-05,0.014415246004396807,0.20524123670692576,29097.145165902308,2.7540683157275834
0.2,349.9332912394345,0.5056566785432809,29993.888966160495,1749.8713598151403,-0.01746992765734867,0.002887990063219714,52000.0,14000.0,29000.0,53513.69201324187,53522.920773862505,-993.8889661604953,-8.25410957503759e-05,0.014398869101311756,0.20532160046214926,29102.25270036897,2.7513119554285264
0.25,437.4122384563089,0.7897858589528695,29992.360371123334,1749.8392239693608,-0.01747405471213619,0.0036079335182854777,52000.0,14000.0,29000.0,53429.189992798936,53438.40493870286,-992.3603711233336,-8.228885836970628e-05,0.014382547734262941,0.20540194007659807,29107.362781287913,2.748565351781448
0.30000000000000004,524.889345998125,1.1368527636490708,29990.831443680345,1749.80709775611,-0.017478169155054676,0.004327060904998792,52000.0,14000.0,29000.0,53344.6828302202,53353.88395615239,-990.8314436803448,-8.203741543849445e-05,0.014366281872925156,0.20548225560972525,29112.47540442356,2.745828496175553
0.35000000000000003,612.3645694173908,1.5467836302763147,29989.30218493789,1749.774981151662,-0.017482271025826602,0.005045374998644991,52000.0,14000.0,29000.0,53260.17055546631,53269.35785618673,-989.3021849378893,-8.178676404727217e-05,0.014350071487598764,0.20556254712084523,29117.59056555334,2.7431013801022037
0.4,699.8378644203461,2.0195049123856097,29987.772595998806,1749.7428741323456,-0.017486360364028966,0.005762878573024821,52000.0,14000.0,29000.0,53175.65319841039,53184.82666869395,-987.7725959988056,-8.153690129503784e-05,0.014333916549212386,0.20564281466913598,29122.70826046757,2.740383995155352
0.45,787.3091868661054,2.5549432795004146,29986.242677962437,1749.710776674545,-0.01749043720909372,0.006479574400485522,52000.0,14000.0,29000.0,53091.13078883853,53100.29042347502,-986.2426779624366,-8.128782428922613e-05,0.014317817029325663,0.20572305831363735,29127.828484969396,2.7376763330319767
0.5,874.7784927658026,3.1530256171835407,29984.712431924636,1749.6786887546987,-0.01749450160030818,0.007195465251951916,52000.0,14000.0,29000.0,53006.60335645034,53015.74915024439,-984.7124319246359,-8.103953014565664e-05,0.014301772900131937,0.20580327811325333,29132.951234874825,2.734978385532513
