controller,controller_description,kp,kd,theta_rms_rad,theta_peak_rad,sensor_pollution_rms_rad_s,eta_peak,eta_dot_peak,modal_energy_max,moment_cmd_peak_nm,moment_rate_rms_nm_s,moment_saturation_fraction,effectiveness_min,bandwidth_ratio,tracking_pass,modal_pass,actuator_pass,bandwidth_pass,case_pass
rigid_rate_pd,PD uses true rigid pitch rate,95000.0,15500.0,0.04661974681700651,0.1082480883123737,0.013561581932393001,0.0220901275281357,0.09319814326232444,0.015616080859108272,4800.0,5196.4085788120965,0.27920049968769517,0.9116394898874572,0.16895464798851517,True,True,False,True,False
flex_sensor_pd,PD uses sensor rate with flexible contamination,95000.0,15500.0,0.0509058083706277,0.11285886402244735,0.01032365520044903,0.02020074972547148,0.07374020761571792,0.013058282528892408,4800.0,5287.205025888019,0.2985633978763273,0.9191970010981141,0.16895464798851517,True,True,False,True,False
band_limited_pd,Lower bandwidth PD uses contaminated rate,45000.0,8000.0,0.03143129645263392,0.06410152953685838,0.00698275286851587,0.012781717071865801,0.06683541329045932,0.005228539836438752,2763.497632779743,2565.7669832477222,0.0,0.9488731317125368,0.11628256367738293,True,True,True,True,True
