time,controller,downrange,crossrange,altitude,velocity,gamma,heading,bank,bank_cmd,bank_rate,alpha_cmd,qbar,heat_rate,load_factor,energy_height,energy_ref,energy_lower,energy_upper,energy_corridor_margin,lift_to_drag,lift,drag
0.0,1.0,0.0,22000.0,44000.0,2450.0,-0.05585053606381855,-0.017453292519943295,0.0,-0.7780373659840454,0.0,0.13962634015954636,8154.858465886687,80490.5100799931,0.5141414169057557,350042.32842000073,350042.32842000073,332042.32842000073,374042.32842000073,18000.0,6.1701386026720835,5546.205418708711,898.8785788874875
0.1,1.0,244.5780578846241,21995.730815389565,43986.300112805955,2449.9730439541627,-0.0560441942934184,-0.017454012915693262,-0.006981317007977318,-0.7778830990214697,-0.06981317007977318,0.13963655945318038,8170.210205390497,80564.464382714,0.5151432611285752,350021.89412819484,349973.10059529205,331973.10059529205,373973.10059529205,18048.793532902782,6.170279832181682,5557.012627921196,900.6094989303512
0.2,1.0,489.1507656959548,21991.46137133252,43972.55305364213,2449.9461195563154,-0.05623745830645191,-0.017456177876603363,-0.013962634015954637,-0.777727667066688,-0.06981317007977318,0.13964677022142113,8185.644683858855,80638.75388855464,0.5161504217378019,350001.42064497294,349903.8742849217,331903.8742849217,373903.8742849217,18097.54636005126,6.170420914248821,5567.877186668516,902.3496555658135
0.30000000000000004,1.0,733.7181166386957,21987.191313874093,43958.758919342574,2449.919225581387,-0.05643033607250651,-0.0174597930201581,-0.020943951023931956,-0.7775710528833408,-0.06981317007977318,0.1396569724199931,8201.162142326943,80713.37873551887,0.5171629146556445,349980.9077608584,349834.64949081314,331834.64949081314,373834.64949081314,18146.258270045277,6.170561848338721,5578.799266708553,904.0990761984687
0.4,1.0,978.2801037136686,21982.92028771522,43944.91780478616,2449.89236080963,-0.05662283561377202,-0.017464863937854513,-0.027925268031909273,-0.7774132392074643,-0.06981317007977317,0.13966716600448065,8216.762825516573,80788.33907471823,0.5181807560374899,349960.35526576336,349765.4262149475,331765.4262149475,373765.4262149475,18194.929050815874,6.170702633915109,5589.779042314555,905.8577886401929
0.5,1.0,1222.8367197145515,21978.64793621913,43931.02980288391,2449.8655240266366,-0.056814965005070904,-0.017471396194832067,-0.03490658503988659,-0.7772542087480231,-0.06981317007977317,0.13967735093032588,8232.446981874225,80863.63507048473,0.5192039622743418,349939.76294897904,349696.20445936447,331696.20445936447,373696.20445936447,18243.558489614574,6.170843270440189,5600.816690301441,907.6258211143829
0.6000000000000001,1.0,1467.3879572245944,21974.37390141804,43917.095004566385,2449.8387140233494,-0.057006732373885934,-0.017479395329502267,-0.04188790204786391,-0.7770939441874476,-0.06981317007977321,0.13968752715282642,8248.21486360958,80939.26690048465,0.5202325499952932,349919.1305991669,349626.98422616336,331626.98422616336,373626.98422616336,18292.146373003547,6.170983757374601,5611.9123900524755,909.4032022602538
0.7000000000000001,1.0,1711.9338086133143,21970.09782401991,43903.11349877099,2449.8119295960773,-0.05719814590038522,-0.01748886685317741,-0.04886921905584123,-0.7769324281821749,-0.06981317007977321,0.1396976946271334,8264.066726734674,81015.23475583382,0.5212665360700383,349898.45800434914,349557.76551750407,331557.76551750407,373557.76551750407,18340.692486845073,6.171124094177409,5623.0663235463635,911.1899611372017
0.8,1.0,1956.4742660331674,21965.81934341534,43889.085372429334,2449.785169546507,-0.05738921381744462,-0.017499816249699318,-0.055850536063818554,-0.7767696433631928,-0.06981317007977321,0.13970785330824917,8280.002831103486,81091.5388412134,0.5223059376114113,349877.7449518988,349488.54833560775,331488.54833560775,373488.54833560775,18389.19661629107,6.171264280306059,5634.278675384641,912.9861272292188
0.9,1.0,2201.0093214162,21961.538097684497,43875.01071045456,2449.7584326817155,-0.05757994441066762,-0.017512248975066758,-0.06283185307179587,-0.7766055723365886,-0.06981317007977314,0.13971800315102495,8296.023440452182,81168.17937498745,0.5233507719779692,349856.9912285303,349419.33268275805,331419.33268275805,373419.33268275805,18437.658545772254,6.171404315216358,5645.549632819526,914.7917304493773
1.0,1.0,2445.5389664706763,21957.2537236042,43860.88959572869,2449.7317178141834,-0.05777034601840251,-0.017526170457064616,-0.06981317007977318,-0.7764401976840996,-0.06981317007977314,0.1397281441101589,8312.128822439812,81245.15658932112,0.5244010567766001,349836.19662029005,349350.118561302,331350.118561302,373350.118561302,18486.07805898803,6.171544198362437,5656.879385782069,916.6068011443668
1.1,1.0,2690.0631926776873,21952.965856655053,43846.72210908991,2449.705023761805,-0.05796042703175706,-0.017541586094891315,-0.0767944870877505,-0.7762735019636688,-0.06981317007977314,0.13973827614019355,8328.319248689659,81322.47073030037,0.5254568098651761,349815.36091254605,349280.90597365086,331280.90597365086,373280.90597365086,18534.454938895185,6.171683929196723,5668.268126910762,918.431370099103
1.2000000000000002,1.0,2934.5819912877355,21948.6741310287,43832.508329319964,2449.678349347901,-0.05815019589461057,-0.01755850125878622,-0.08377580409572781,-0.7761054677100043,-0.06981317007977314,0.1397483991955137,8344.59499483106,81400.12205805253,0.526518049355236,349794.48388997815,349211.69492228114,331211.69492228114,373211.69492228114,18582.788967697008,6.171823507169913,5679.716051580477,920.2654685413887
1.3,1.0,3179.095353317297,21944.378179635147,43818.24833313141,2449.651693401229,-0.058339661103623375,-0.017576921289656156,-0.09075712110370512,-0.7759360774351404,-0.06981317007977314,0.13975851323034405,8360.956340541881,81478.11084686827,0.5275847936147077,349773.5653365683,349142.48540973564,331142.48540973564,373142.48540973564,18631.079926832637,6.1719629317309375,5691.22335793184,922.1091281466473
1.4000000000000001,1.0,3423.603269545364,21940.07763411021,43803.94219515497,2449.6250547559926,-0.058528831208243745,-0.017596851498703714,-0.09773843811168244,-0.7757653136290046,-0.06981317007977314,0.13976861819874684,8377.403569591499,81556.43738532448,0.5286570612706659,349752.6050355898,349073.2774386244,331073.2774386244,373073.2774386244,18679.327596965362,6.172102202326929,5702.790246900972,923.9623810427146
1.5,1.0,3668.1057305099644,21935.772124823026,43789.58998792686,2449.5984322518534,-0.058717714810712286,-0.017618297167053765,-0.10471975511965975,-0.7755931587599859,-0.06981317007977314,0.13977871405461953,8393.936969884351,81635.10197640824,0.5297348712121239,349731.6027695974,349004.0710116256,331004.0710116256,373004.0710116256,18727.531757971796,6.172241318403197,5714.416922249612,925.8252598146912
