time,velocity,velocity_ref,altitude,altitude_ref,gamma,alpha,theta,pitch_rate,elevator,elevator_rate,delta_cmd,throttle_cmd,qbar
35.88,2314.55196073387,1830,28105.1587275822,29100,-0.0110951301715316,0.0747589353929169,0.0636638052213851,0.00145345388649945,-0.0418733300904409,2.97359534337861e-07,-0.041873301384443,0.0976240717414311,66187.1898455967
35.9,2314.57751266248,1830,28104.6458039289,29100,-0.0110660176265495,0.0747588927885178,0.0636928751619681,0.00145354029471098,-0.0418733236504133,3.32193692935613e-07,-0.0418732922038859,0.0973359509485299,66193.3666328625
35.92,2314.60278938348,1830,28104.134222266,29100,-0.0110369036738706,0.0747588505117384,0.0637219468378677,0.00145362741204726,-0.0418733165041648,3.66838027086871e-07,-0.0418732823384524,0.0970492268355889,66199.5158993366
35.94,2314.6277922006,1830,28103.6239827492,29100,-0.0110077883142318,0.0747588085771229,0.0637510202628909,0.00145371520094239,-0.0418733086560405,4.01249576482369e-07,-0.041873271795714,0.0967638956073448,66205.6377109082
35.96,2314.65252241404,1830,28103.1150855334,29100,-0.0109786715483703,0.0747587669984626,0.0637800954500922,0.0014538036236934,-0.0418733001112444,4.35386667166854e-07,-0.0418732605839952,0.0964799534772439,66211.7321333241
35.98,2314.67698132045,1830,28102.6075307728,29100,-0.0109495533770242,0.0747587257887952,0.0638091724117708,0.00145389264251365,-0.0418732908758132,4.69208939094324e-07,-0.0418732487123448,0.0961973966674242,66217.7992321888
36,2314.70117021299,1830,28102.1013186206,29100,-0.0109204338009338,0.0747586849604041,0.0638382511594701,0.00145398221958513,-0.0418732809565894,5.02677371586349e-07,-0.0418732361905074,0.0959162214087022,66223.8390729647
36.02,2314.72509038127,1830,28101.5964492293,29100,-0.0108913128208426,0.0747586445248198,0.063867331703977,0.00145407231710967,-0.0418732703611932,5.35754305895438e-07,-0.0418732230288948,0.0956364239405677,66229.8517209724
36.04,2314.74874311142,1830,28101.0929227507,29100,-0.0108621904374982,0.0747586044928216,0.0638964140553232,0.00145416289735884,-0.0418732590979953,5.68403466421438e-07,-0.0418732092385562,0.0953580005111575,66235.8372413908
36.06,2314.77212968608,1830,28100.5907393357,29100,-0.0108330666516535,0.0747585648744405,0.0639254982227868,0.00145425392272279,-0.0418732471760882,6.00589978331919e-07,-0.041873194831149,0.095080947377258,66241.7956992569
36.08,2314.79525138437,1830,28100.0898991346,29100,-0.0108039414640675,0.0747585256789631,0.0639545842148954,0.00145434535575765,-0.0418732346052577,6.32280383287458e-07,-0.0418731798189094,0.0948052608042805,66247.7271594665
36.1,2314.81810948197,1830,28099.5904022967,29100,-0.0107748148755067,0.0747584869149366,0.0639836720394297,0.00145443715923178,-0.0418732213959537,6.63442653617135e-07,-0.0418731642146225,0.0945309370662545,66253.6316867741
36.12,2314.84070525106,1830,28099.0922489706,29100,-0.0107456868867453,0.0747584485901739,0.0640127617034284,0.00145452929617058,-0.0418732075592611,6.9404620287147e-07,-0.0418731480315926,0.0942579724458139,66259.5093457931
